date,open,high,low,close,volume
20160226 09:30:00 US/Eastern,117.43,117.72,117.26,117.59,505428
20160226 09:45:00 US/Eastern,117.58,117.64,117.28,117.33,445834
20160226 10:00:00 US/Eastern,117.33,117.41,116.96,117.08,697380
20160226 10:15:00 US/Eastern,117.09,117.42,116.96,117.3,453863
20160226 10:30:00 US/Eastern,117.29,117.31,116.74,116.83,523206
20160226 10:45:00 US/Eastern,116.82,116.84,116.33,116.38,665543
20160226 11:00:00 US/Eastern,116.39,116.39,115.86,116.25,1212706
20160226 11:15:00 US/Eastern,116.24,116.49,116.16,116.41,313282
20160226 11:30:00 US/Eastern,116.4,116.51,116.28,116.45,240798
20160226 11:45:00 US/Eastern,116.44,116.6,116.29,116.55,242406
20160226 12:00:00 US/Eastern,116.56,116.72,116.53,116.66,251184
20160226 12:15:00 US/Eastern,116.66,116.66,116.49,116.6,261696
20160226 12:30:00 US/Eastern,116.59,116.9,116.59,116.8,887762
20160226 12:45:00 US/Eastern,116.8,116.85,116.66,116.66,209808
20160226 13:00:00 US/Eastern,116.67,116.74,116.61,116.72,287554
20160226 13:15:00 US/Eastern,116.74,116.75,116.61,116.68,133617
20160226 13:30:00 US/Eastern,116.69,116.86,116.68,116.82,142362
20160226 13:45:00 US/Eastern,116.81,117.05,116.76,116.85,196405
20160226 14:00:00 US/Eastern,116.86,116.92,116.82,116.87,243995
20160226 14:15:00 US/Eastern,116.86,117.02,116.84,117.0,278324
20160226 14:30:00 US/Eastern,117.01,117.3,117.0,117.26,310287
20160226 14:45:00 US/Eastern,117.26,117.26,117.12,117.22,134936
20160226 15:00:00 US/Eastern,117.23,117.29,116.94,117.19,284610
20160226 15:15:00 US/Eastern,117.19,117.23,117.07,117.1,472067
20160226 15:30:00 US/Eastern,117.09,117.1,116.93,117.06,385171
20160226 15:45:00 US/Eastern,117.06,117.14,117.0,117.11,951870
20160229 09:30:00 US/Eastern,117.59,118.0,117.53,117.96,569494
20160229 09:45:00 US/Eastern,117.96,118.09,117.91,118.0,491445
20160229 10:00:00 US/Eastern,118.01,118.21,117.98,118.01,519794
20160229 10:15:00 US/Eastern,118.0,118.02,117.86,117.93,195441
20160229 10:30:00 US/Eastern,117.92,118.02,117.88,118.0,188594
20160229 10:45:00 US/Eastern,118.01,118.04,117.76,117.79,315324
20160229 11:00:00 US/Eastern,117.8,117.95,117.77,117.89,157704
20160229 11:15:00 US/Eastern,117.88,118.09,117.79,118.03,335919
20160229 11:30:00 US/Eastern,118.03,118.05,117.85,117.89,278711
20160229 11:45:00 US/Eastern,117.9,117.98,117.85,117.94,213703
20160229 12:00:00 US/Eastern,117.93,117.93,117.77,117.78,150034
20160229 12:15:00 US/Eastern,117.78,117.87,117.77,117.83,121699
20160229 12:30:00 US/Eastern,117.82,117.96,117.81,117.9,95922
20160229 12:45:00 US/Eastern,117.9,117.92,117.81,117.83,99897
20160229 13:00:00 US/Eastern,117.83,117.91,117.78,117.81,167981
20160229 13:15:00 US/Eastern,117.8,118.03,117.66,118.02,263175
20160229 13:30:00 US/Eastern,118.02,118.09,117.92,117.97,223960
20160229 13:45:00 US/Eastern,117.97,118.04,117.92,118.02,124080
20160229 14:00:00 US/Eastern,118.01,118.29,118.0,118.22,319208
20160229 14:15:00 US/Eastern,118.25,118.43,118.17,118.26,332336
20160229 14:30:00 US/Eastern,118.26,118.37,118.2,118.32,327829
20160229 14:45:00 US/Eastern,118.33,118.5,118.31,118.5,336318
20160229 15:00:00 US/Eastern,118.5,118.56,118.4,118.52,455742
20160229 15:15:00 US/Eastern,118.54,118.63,118.42,118.49,661548
20160229 15:30:00 US/Eastern,118.49,118.62,118.44,118.56,458476
20160229 15:45:00 US/Eastern,118.56,118.7,118.51,118.63,1059356
20160301 09:30:00 US/Eastern,118.73,119.11,118.21,118.48,717773
