date,open,high,low,close,volume
20160226 09:30:00 US/Eastern,14.31,14.33,14.27,14.3,801481
20160226 09:45:00 US/Eastern,14.29,14.3,14.15,14.18,1309267
20160226 10:00:00 US/Eastern,14.18,14.22,14.11,14.13,1160216
20160226 10:15:00 US/Eastern,14.13,14.18,14.12,14.16,616131
20160226 10:30:00 US/Eastern,14.17,14.18,14.14,14.16,296419
20160226 10:45:00 US/Eastern,14.15,14.16,14.09,14.1,277519
20160226 11:00:00 US/Eastern,14.09,14.1,13.97,14.01,1323797
20160226 11:15:00 US/Eastern,14.01,14.05,14.0,14.04,583811
20160226 11:30:00 US/Eastern,14.03,14.04,14.02,14.03,195732
20160226 11:45:00 US/Eastern,14.03,14.05,14.02,14.05,124476
20160226 12:00:00 US/Eastern,14.04,14.06,14.03,14.04,166528
20160226 12:15:00 US/Eastern,14.04,14.06,14.02,14.05,163756
20160226 12:30:00 US/Eastern,14.05,14.07,14.04,14.05,187969
20160226 12:45:00 US/Eastern,14.05,14.05,14.02,14.02,150033
20160226 13:00:00 US/Eastern,14.03,14.04,14.01,14.02,103096
20160226 13:15:00 US/Eastern,14.03,14.03,13.98,14.02,247335
20160226 13:30:00 US/Eastern,14.01,14.03,14.0,14.02,97073
20160226 13:45:00 US/Eastern,14.03,14.03,13.99,13.99,209734
20160226 14:00:00 US/Eastern,14.0,14.0,13.99,14.0,89675
20160226 14:15:00 US/Eastern,14.0,14.01,13.99,14.01,67918
20160226 14:30:00 US/Eastern,14.01,14.03,14.0,14.03,168004
20160226 14:45:00 US/Eastern,14.03,14.04,14.01,14.04,101219
20160226 15:00:00 US/Eastern,14.04,14.04,14.0,14.03,348879
20160226 15:15:00 US/Eastern,14.03,14.04,14.02,14.03,228480
20160226 15:30:00 US/Eastern,14.02,14.05,14.02,14.03,271042
20160226 15:45:00 US/Eastern,14.04,14.04,14.02,14.02,649357
20160229 09:30:00 US/Eastern,14.04,14.1,14.03,14.09,353588
20160229 09:45:00 US/Eastern,14.1,14.12,14.08,14.11,292981
20160229 10:00:00 US/Eastern,14.11,14.12,14.08,14.09,175807
20160229 10:15:00 US/Eastern,14.1,14.1,14.06,14.08,119065
20160229 10:30:00 US/Eastern,14.08,14.11,14.07,14.1,125837
20160229 10:45:00 US/Eastern,14.1,14.12,14.07,14.08,231958
20160229 11:00:00 US/Eastern,14.07,14.1,14.06,14.08,200560
20160229 11:15:00 US/Eastern,14.08,14.12,14.07,14.12,267768
20160229 11:30:00 US/Eastern,14.11,14.13,14.1,14.12,98492
20160229 11:45:00 US/Eastern,14.13,14.14,14.11,14.14,67161
