date,open,high,low,close,volume
20160226 09:30:00 US/Eastern,73.12,73.28,72.56,72.64,963059.625
20160226 09:45:00 US/Eastern,72.56,72.96,72.24,72.32,507999.375
20160226 10:00:00 US/Eastern,72.32,72.48,71.52,71.76,448103.125
20160226 10:15:00 US/Eastern,71.76,71.92,70.88,71.36,274246.25
20160226 10:30:00 US/Eastern,71.36,71.92,71.28,71.68,200564.125
20160226 10:45:00 US/Eastern,71.76,72.16,71.52,72.16,123685.875
20160226 11:00:00 US/Eastern,72.16,72.24,71.68,71.84,167144.625
20160226 11:15:00 US/Eastern,71.84,72.32,71.44,71.52,155207.75
20160226 11:30:00 US/Eastern,71.52,71.6,70.48,70.96,384013.125
20160226 11:45:00 US/Eastern,70.96,71.36,70.88,71.28,149042.875
20160226 12:00:00 US/Eastern,71.2,71.36,70.72,71.28,136024.25
20160226 12:15:00 US/Eastern,71.36,72.0,71.28,71.84,210191.25
20160226 12:30:00 US/Eastern,71.84,72.0,71.04,71.28,156704.75
20160226 12:45:00 US/Eastern,71.2,71.44,70.88,71.36,125593
20160226 13:00:00 US/Eastern,71.28,71.44,71.04,71.12,116986.5
20160226 13:15:00 US/Eastern,71.04,71.36,70.96,71.12,85616.875
20160226 13:30:00 US/Eastern,71.04,71.12,70.56,70.72,153684.75
20160226 13:45:00 US/Eastern,70.64,70.88,70.0,70.16,237876.75
20160226 14:00:00 US/Eastern,70.16,70.64,69.76,70.08,192722.375
20160226 14:15:00 US/Eastern,70.08,70.24,69.6,69.84,166370.25
20160226 14:30:00 US/Eastern,69.84,70.0,69.68,69.92,240891.875
20160226 14:45:00 US/Eastern,70.0,70.16,69.92,70.08,206114.375
20160226 15:00:00 US/Eastern,70.0,70.48,70.0,70.4,242221.875
20160226 15:15:00 US/Eastern,70.4,70.48,70.16,70.24,109559.875
20160226 15:30:00 US/Eastern,70.24,70.64,70.16,70.4,230535.5
20160226 15:45:00 US/Eastern,70.48,70.56,70.08,70.32,367713.25
20160229 09:30:00 US/Eastern,70.96,71.04,70.56,70.64,250804.625
20160229 09:45:00 US/Eastern,70.64,71.44,70.56,71.12,244475.75
20160229 10:00:00 US/Eastern,71.04,71.12,70.24,70.56,782053.25
