date,open,high,low,close,volume
20160226 09:30:00 US/Eastern,24.3,24.42,24.29,24.33,11307788
20160226 09:45:00 US/Eastern,24.33,24.39,24.31,24.38,5492112
20160226 10:00:00 US/Eastern,24.38,24.38,24.31,24.36,5523768
20160226 10:15:00 US/Eastern,24.36,24.38,24.27,24.3,4120556
20160226 10:30:00 US/Eastern,24.3,24.43,24.3,24.42,4478624
20160226 10:45:00 US/Eastern,24.42,24.43,24.39,24.42,3634716
20160226 11:00:00 US/Eastern,24.42,24.51,24.41,24.45,7648700
20160226 11:15:00 US/Eastern,24.45,24.47,24.38,24.38,3154276
20160226 11:30:00 US/Eastern,24.38,24.38,24.33,24.34,4149632
20160226 11:45:00 US/Eastern,24.34,24.38,24.33,24.35,2619300
20160226 12:00:00 US/Eastern,24.35,24.35,24.24,24.29,4735904
20160226 12:15:00 US/Eastern,24.29,24.35,24.27,24.3,2353936
20160226 12:30:00 US/Eastern,24.3,24.33,24.25,24.29,1655220
20160226 12:45:00 US/Eastern,24.29,24.31,24.24,24.28,2646080
20160226 13:00:00 US/Eastern,24.28,24.33,24.27,24.27,1910764
20160226 13:15:00 US/Eastern,24.27,24.29,24.22,24.22,2322640
20160226 13:30:00 US/Eastern,24.22,24.27,24.15,24.2,3778712
20160226 13:45:00 US/Eastern,24.19,24.23,24.17,24.22,2999344
20160226 14:00:00 US/Eastern,24.22,24.26,24.21,24.25,2159664
20160226 14:15:00 US/Eastern,24.24,24.25,24.22,24.25,1915172
20160226 14:30:00 US/Eastern,24.25,24.25,24.15,24.18,2851132
20160226 14:45:00 US/Eastern,24.18,24.23,24.17,24.18,2332668
20160226 15:00:00 US/Eastern,24.18,24.28,24.17,24.25,3732160
20160226 15:15:00 US/Eastern,24.25,24.27,24.23,24.24,2341136
20160226 15:30:00 US/Eastern,24.24,24.28,24.24,24.25,3827744
20160226 15:45:00 US/Eastern,24.25,24.26,24.22,24.23,6862104
20160229 09:30:00 US/Eastern,24.22,24.4,24.19,24.36,8369836
20160229 09:45:00 US/Eastern,24.36,24.42,24.31,24.39,7556584
20160229 10:00:00 US/Eastern,24.39,24.43,24.33,24.38,3608144
20160229 10:15:00 US/Eastern,24.38,24.47,24.38,24.42,4394968
20160229 10:30:00 US/Eastern,24.42,24.45,24.39,24.45,2632828
20160229 10:45:00 US/Eastern,24.45,24.49,24.45,24.47,2682096
20160229 11:00:00 US/Eastern,24.47,24.5,24.44,24.5,3095620
20160229 11:15:00 US/Eastern,24.5,24.56,24.49,24.5,5003528
20160229 11:30:00 US/Eastern,24.49,24.54,24.48,24.5,3951864
20160229 11:45:00 US/Eastern,24.5,24.53,24.49,24.5,2325520
20160229 12:00:00 US/Eastern,24.5,24.5,24.45,24.5,2371428
20160229 12:15:00 US/Eastern,24.5,24.52,24.43,24.46,2217224
20160229 12:30:00 US/Eastern,24.46,24.47,24.41,24.44,3549804
20160229 12:45:00 US/Eastern,24.44,24.48,24.43,24.48,2913292
20160229 13:00:00 US/Eastern,24.48,24.5,24.44,24.44,3227200
20160229 13:15:00 US/Eastern,24.45,24.49,24.43,24.43,1980276
20160229 13:30:00 US/Eastern,24.43,24.43,24.39,24.42,2797272
20160229 13:45:00 US/Eastern,24.42,24.43,24.41,24.43,1737356
20160229 14:00:00 US/Eastern,24.43,24.43,24.37,24.37,2595360
20160229 14:15:00 US/Eastern,24.37,24.37,24.3,24.37,3718540
20160229 14:30:00 US/Eastern,24.37,24.4,24.33,24.33,3543076
20160229 14:45:00 US/Eastern,24.33,24.36,24.3,24.34,2765536
20160229 15:00:00 US/Eastern,24.34,24.34,24.26,24.28,3176776
20160229 15:15:00 US/Eastern,24.28,24.32,24.25,24.31,4034428
20160229 15:30:00 US/Eastern,24.31,24.34,24.28,24.33,4578940
20160229 15:45:00 US/Eastern,24.32,24.34,24.16,24.16,11780112
20160301 09:30:00 US/Eastern,24.41,24.51,24.36,24.43,11996812
20160301 09:45:00 US/Eastern,24.43,24.5,24.4,24.49,6472620
20160301 10:00:00 US/Eastern,24.49,24.59,24.49,24.52,7997764
20160301 10:15:00 US/Eastern,24.52,24.67,24.49,24.65,9052560
