date,open,high,low,close,volume
20160226 09:30:00 US/Eastern,28.01,28.13,27.88,27.99,8677660
20160226 09:45:00 US/Eastern,27.98,28.09,27.9,28.05,5241320
20160226 10:00:00 US/Eastern,28.04,28.05,27.9,27.97,4339780
20160226 10:15:00 US/Eastern,27.98,27.99,27.85,27.9,2664600
20160226 10:30:00 US/Eastern,27.9,28.05,27.88,28.03,2758120
20160226 10:45:00 US/Eastern,28.04,28.08,27.93,28.0,2182500
20160226 11:00:00 US/Eastern,28.0,28.01,27.9,27.92,2827620
20160226 11:15:00 US/Eastern,27.93,27.99,27.85,27.85,2944480
20160226 11:30:00 US/Eastern,27.86,27.91,27.78,27.89,4252640
20160226 11:45:00 US/Eastern,27.89,27.94,27.84,27.9,3521000
20160226 12:00:00 US/Eastern,27.89,27.89,27.71,27.75,4695240
20160226 12:15:00 US/Eastern,27.75,27.77,27.66,27.74,2714760
20160226 12:30:00 US/Eastern,27.73,27.83,27.72,27.75,2999020
20160226 12:45:00 US/Eastern,27.74,27.87,27.73,27.87,1599640
20160226 13:00:00 US/Eastern,27.87,27.9,27.81,27.83,1418100
20160226 13:15:00 US/Eastern,27.82,27.83,27.76,27.82,1206680
20160226 13:30:00 US/Eastern,27.83,27.86,27.78,27.78,2455640
20160226 13:45:00 US/Eastern,27.78,27.81,27.74,27.79,1635760
20160226 14:00:00 US/Eastern,27.79,27.86,27.77,27.82,1970040
20160226 14:15:00 US/Eastern,27.82,27.89,27.75,27.89,2185520
20160226 14:30:00 US/Eastern,27.88,27.88,27.7,27.78,2034080
20160226 14:45:00 US/Eastern,27.78,27.81,27.74,27.75,1444600
20160226 15:00:00 US/Eastern,27.75,27.85,27.74,27.8,2761480
20160226 15:15:00 US/Eastern,27.8,27.83,27.76,27.79,1433140
20160226 15:30:00 US/Eastern,27.79,27.83,27.77,27.82,1978640
20160226 15:45:00 US/Eastern,27.82,27.84,27.75,27.76,4864580
20160229 09:30:00 US/Eastern,27.7,27.91,27.64,27.83,3586520
20160229 09:45:00 US/Eastern,27.83,28.02,27.78,27.9,2737120
20160229 10:00:00 US/Eastern,27.93,27.94,27.8,27.9,2087920
20160229 10:15:00 US/Eastern,27.92,28.1,27.9,27.99,2510520
20160229 10:30:00 US/Eastern,28.01,28.03,27.88,27.92,1601520
20160229 10:45:00 US/Eastern,27.92,27.99,27.89,27.96,2380460
20160229 11:00:00 US/Eastern,27.96,27.98,27.85,27.89,1463500
20160229 11:15:00 US/Eastern,27.9,27.93,27.87,27.88,892100
20160229 11:30:00 US/Eastern,27.88,28.04,27.88,27.95,2199500
20160229 11:45:00 US/Eastern,27.95,28.02,27.95,27.99,1131800
20160229 12:00:00 US/Eastern,27.99,28.01,27.95,28.0,1462540
20160229 12:15:00 US/Eastern,27.99,28.09,27.99,28.01,2525560
20160229 12:30:00 US/Eastern,28.0,28.05,27.98,28.04,1707800
20160229 12:45:00 US/Eastern,28.05,28.16,28.02,28.16,2406660
20160229 13:00:00 US/Eastern,28.16,28.24,28.09,28.09,3373500
20160229 13:15:00 US/Eastern,28.09,28.17,28.07,28.07,1590740
20160229 13:30:00 US/Eastern,28.07,28.1,27.99,28.04,2056100
20160229 13:45:00 US/Eastern,28.04,28.05,27.97,28.01,1626140
20160229 14:00:00 US/Eastern,28.01,28.01,27.89,27.92,1342780
20160229 14:15:00 US/Eastern,27.91,27.92,27.79,27.9,1953240
20160229 14:30:00 US/Eastern,27.9,27.93,27.83,27.86,2261680
20160229 14:45:00 US/Eastern,27.86,27.88,27.79,27.8,1753540
20160229 15:00:00 US/Eastern,27.8,27.83,27.7,27.72,2654560
20160229 15:15:00 US/Eastern,27.72,27.78,27.68,27.76,1886440
20160229 15:30:00 US/Eastern,27.76,27.79,27.71,27.75,1398880
20160229 15:45:00 US/Eastern,27.74,27.77,27.63,27.64,3733140
20160301 09:30:00 US/Eastern,27.81,28.02,27.8,28.0,5128560
20160301 09:45:00 US/Eastern,28.0,28.11,27.88,28.04,3988040
20160301 10:00:00 US/Eastern,28.05,28.22,28.04,28.15,3312980
20160301 10:15:00 US/Eastern,28.17,28.38,28.12,28.36,4430820
20160301 10:30:00 US/Eastern,28.36,28.44,28.28,28.35,4461160
20160301 10:45:00 US/Eastern,28.35,28.36,28.29,28.29,1557320
20160301 11:00:00 US/Eastern,28.31,28.36,28.26,28.34,1796360
20160301 11:15:00 US/Eastern,28.33,28.42,28.29,28.4,1811420
20160301 11:30:00 US/Eastern,28.41,28.49,28.37,28.46,2601220
20160301 11:45:00 US/Eastern,28.46,28.57,28.46,28.55,2725340
20160301 12:00:00 US/Eastern,28.55,28.59,28.52,28.54,1625040
20160301 12:15:00 US/Eastern,28.54,28.57,28.49,28.57,1472960
20160301 12:30:00 US/Eastern,28.57,28.6,28.53,28.57,1599140
20160301 12:45:00 US/Eastern,28.58,28.68,28.57,28.59,2944080
20160301 13:00:00 US/Eastern,28.59,28.63,28.49,28.58,3305980
20160301 13:15:00 US/Eastern,28.58,28.62,28.55,28.59,1882620
20160301 13:30:00 US/Eastern,28.6,28.7,28.58,28.67,2121260
20160301 13:45:00 US/Eastern,28.68,28.7,28.61,28.65,1908580
20160301 14:00:00 US/Eastern,28.63,28.75,28.61,28.7,3358560
20160301 14:15:00 US/Eastern,28.7,28.72,28.66,28.69,2211120
20160301 14:30:00 US/Eastern,28.69,28.79,28.65,28.78,2521260
20160301 14:45:00 US/Eastern,28.77,28.8,28.7,28.79,2575560
20160301 15:00:00 US/Eastern,28.79,28.92,28.76,28.83,4173020
20160301 15:15:00 US/Eastern,28.85,28.88,28.81,28.86,3269500
20160301 15:30:00 US/Eastern,28.86,28.86,28.79,28.82,2763700
20160301 15:45:00 US/Eastern,28.83,28.96,28.79,28.95,5867760
20160302 09:30:00 US/Eastern,29.09,29.24,28.91,29.07,8248440
20160302 09:45:00 US/Eastern,29.07,29.11,28.88,29.02,3560740
20160302 10:00:00 US/Eastern,29.02,29.25,29.02,29.23,5115660
20160302 10:15:00 US/Eastern,29.23,29.24,29.12,29.16,2460400
20160302 10:30:00 US/Eastern,29.16,29.17,28.91,29.01,2774860
20160302 10:45:00 US/Eastern,29.01,29.11,28.97,29.11,1902120
20160302 11:00:00 US/Eastern,29.09,29.16,29.06,29.07,1872180
20160302 11:15:00 US/Eastern,29.08,29.08,28.9,28.98,2217180
20160302 11:30:00 US/Eastern,28.98,29.02,28.81,28.88,3170860
20160302 11:45:00 US/Eastern,28.87,28.89,28.69,28.7,3603040
20160302 12:00:00 US/Eastern,28.71,28.8,28.69,28.76,3017600
20160302 12:15:00 US/Eastern,28.76,28.78,28.7,28.7,2456600
20160302 12:30:00 US/Eastern,28.7,28.88,28.69,28.82,2289760
20160302 12:45:00 US/Eastern,28.82,28.87,28.8,28.85,2110020
20160302 13:00:00 US/Eastern,28.85,28.87,28.8,28.87,1666380
20160302 13:15:00 US/Eastern,28.87,28.87,28.77,28.83,2389760
20160302 13:30:00 US/Eastern,28.83,28.85,28.8,28.84,1152360
20160302 13:45:00 US/Eastern,28.85,28.87,28.78,28.78,1238000
20160302 14:00:00 US/Eastern,28.77,28.84,28.72,28.74,1631220
20160302 14:15:00 US/Eastern,28.74,28.82,28.71,28.79,1393180
20160302 14:30:00 US/Eastern,28.8,28.95,28.79,28.94,2063620
20160302 14:45:00 US/Eastern,28.95,29.03,28.93,28.97,2755800
20160302 15:00:00 US/Eastern,28.97,29.0,28.88,28.98,1697340
20160302 15:15:00 US/Eastern,28.98,29.0,28.89,28.9,1421360
20160302 15:30:00 US/Eastern,28.89,28.94,28.85,28.93,1790000
20160302 15:45:00 US/Eastern,28.92,29.02,28.89,29.01,4434420
20160303 09:30:00 US/Eastern,28.9,28.99,28.67,28.74,3753720
20160303 09:45:00 US/Eastern,28.72,28.81,28.69,28.8,1811800
20160303 10:00:00 US/Eastern,28.81,28.85,28.68,28.73,2961620
20160303 10:15:00 US/Eastern,28.72,28.81,28.66,28.79,2005100
20160303 10:30:00 US/Eastern,28.8,28.87,28.79,28.83,1600640
20160303 10:45:00 US/Eastern,28.83,28.94,28.83,28.91,1526740
20160303 11:00:00 US/Eastern,28.91,28.94,28.84,28.89,1335620
20160303 11:15:00 US/Eastern,28.89,28.91,28.73,28.75,2267160
20160303 11:30:00 US/Eastern,28.75,28.78,28.72,28.75,1489320
20160303 11:45:00 US/Eastern,28.75,28.83,28.74,28.8,1487000
20160303 12:00:00 US/Eastern,28.81,28.83,28.74,28.77,1094120
20160303 12:15:00 US/Eastern,28.77,28.81,28.72,28.74,523300
20160303 12:30:00 US/Eastern,28.73,28.83,28.71,28.82,904740
20160303 12:45:00 US/Eastern,28.82,28.83,28.74,28.82,787160
20160303 13:00:00 US/Eastern,28.82,28.87,28.82,28.84,826660
20160303 13:15:00 US/Eastern,28.85,28.86,28.78,28.82,571020
20160303 13:30:00 US/Eastern,28.83,28.92,28.82,28.91,803960
20160303 13:45:00 US/Eastern,28.92,28.95,28.87,28.89,1101160
20160303 14:00:00 US/Eastern,28.89,28.9,28.83,28.86,1600980
20160303 14:15:00 US/Eastern,28.84,28.92,28.82,28.85,1664320
20160303 14:30:00 US/Eastern,28.85,28.89,28.85,28.88,1058240
20160303 14:45:00 US/Eastern,28.88,28.93,28.86,28.88,793160
20160303 15:00:00 US/Eastern,28.88,28.94,28.88,28.88,1284380
20160303 15:15:00 US/Eastern,28.88,28.89,28.81,28.85,1553400
20160303 15:30:00 US/Eastern,28.85,28.89,28.83,28.87,1594180
20160303 15:45:00 US/Eastern,28.87,28.89,28.84,28.87,3152920
20160304 09:30:00 US/Eastern,29.05,29.07,28.71,28.74,4368060
20160304 09:45:00 US/Eastern,28.78,28.89,28.6,28.71,3805420
20160304 10:00:00 US/Eastern,28.69,28.71,28.55,28.67,2943480
20160304 10:15:00 US/Eastern,28.68,28.78,28.63,28.73,2562540
20160304 10:30:00 US/Eastern,28.72,28.92,28.71,28.88,3228980
20160304 10:45:00 US/Eastern,28.89,28.94,28.81,28.87,1904900
20160304 11:00:00 US/Eastern,28.88,28.97,28.88,28.95,1433280
20160304 11:15:00 US/Eastern,28.95,29.01,28.91,28.92,1872780
20160304 11:30:00 US/Eastern,28.91,28.97,28.81,28.85,2109800
20160304 11:45:00 US/Eastern,28.85,28.94,28.83,28.92,1109860
20160304 12:00:00 US/Eastern,28.91,28.94,28.89,28.89,577840
20160304 12:15:00 US/Eastern,28.89,28.89,28.84,28.88,719080
20160304 12:30:00 US/Eastern,28.89,28.91,28.86,28.89,1494600
20160304 12:45:00 US/Eastern,28.89,28.91,28.85,28.89,494000
20160304 13:00:00 US/Eastern,28.89,28.9,28.78,28.79,953960
20160304 13:15:00 US/Eastern,28.8,28.84,28.78,28.84,1030620
20160304 13:30:00 US/Eastern,28.84,28.92,28.82,28.91,684980
20160304 13:45:00 US/Eastern,28.91,29.0,28.89,28.96,1924300
20160304 14:00:00 US/Eastern,28.95,28.97,28.9,28.93,1747440
20160304 14:15:00 US/Eastern,28.92,28.93,28.84,28.85,1775680
20160304 14:30:00 US/Eastern,28.84,28.86,28.78,28.8,1582880
20160304 14:45:00 US/Eastern,28.81,28.83,28.73,28.78,1842460
20160304 15:00:00 US/Eastern,28.76,28.79,28.7,28.74,2517520
20160304 15:15:00 US/Eastern,28.73,28.78,28.72,28.78,1413040
20160304 15:30:00 US/Eastern,28.77,28.8,28.75,28.76,1638460
20160304 15:45:00 US/Eastern,28.76,28.78,28.74,28.76,3370600
20160307 09:30:00 US/Eastern,28.68,28.68,28.47,28.54,3327760
20160307 09:45:00 US/Eastern,28.54,28.59,28.08,28.08,5938860
20160307 10:00:00 US/Eastern,28.08,28.15,28.01,28.08,5789340
20160307 10:15:00 US/Eastern,28.06,28.18,27.91,27.92,5239820
20160307 10:30:00 US/Eastern,27.92,28.08,27.91,28.02,3360640
20160307 10:45:00 US/Eastern,28.01,28.04,27.91,27.96,2617320
20160307 11:00:00 US/Eastern,27.96,28.17,27.95,28.16,2632580
