date,open,high,low,close,volume
20160226 09:30:00 US/Eastern,36.68,36.74,36.53,36.65,3599060
20160226 09:45:00 US/Eastern,36.64,36.81,36.64,36.74,2646200
20160226 10:00:00 US/Eastern,36.74,36.76,36.58,36.58,1601100
20160226 10:15:00 US/Eastern,36.59,36.6,36.36,36.44,1560540
20160226 10:30:00 US/Eastern,36.43,36.66,36.43,36.65,1294380
20160226 10:45:00 US/Eastern,36.64,36.7,36.56,36.65,825700
20160226 11:00:00 US/Eastern,36.65,36.65,36.5,36.51,615140
20160226 11:15:00 US/Eastern,36.51,36.55,36.46,36.48,792600
20160226 11:30:00 US/Eastern,36.45,36.49,36.34,36.39,1364500
20160226 11:45:00 US/Eastern,36.37,36.44,36.35,36.35,693900
20160226 12:00:00 US/Eastern,36.35,36.36,36.15,36.25,1173440
20160226 12:15:00 US/Eastern,36.24,36.27,36.19,36.21,1188060
20160226 12:30:00 US/Eastern,36.22,36.27,36.18,36.21,672620
20160226 12:45:00 US/Eastern,36.2,36.33,36.18,36.29,659580
20160226 13:00:00 US/Eastern,36.3,36.34,36.25,36.27,483100
20160226 13:15:00 US/Eastern,36.26,36.27,36.22,36.24,624420
20160226 13:30:00 US/Eastern,36.22,36.3,36.16,36.19,859060
20160226 13:45:00 US/Eastern,36.19,36.23,36.1,36.13,764520
20160226 14:00:00 US/Eastern,36.14,36.21,36.11,36.13,648080
20160226 14:15:00 US/Eastern,36.13,36.27,36.1,36.25,477020
20160226 14:30:00 US/Eastern,36.25,36.27,36.11,36.19,649900
20160226 14:45:00 US/Eastern,36.19,36.26,36.13,36.17,576000
20160226 15:00:00 US/Eastern,36.19,36.27,36.15,36.24,643960
20160226 15:15:00 US/Eastern,36.22,36.27,36.18,36.21,474640
20160226 15:30:00 US/Eastern,36.22,36.29,36.21,36.28,997540
20160226 15:45:00 US/Eastern,36.27,36.29,36.21,36.24,2986800
20160229 09:30:00 US/Eastern,36.05,36.32,36.01,36.29,2961580
20160229 09:45:00 US/Eastern,36.3,36.47,36.23,36.4,1594940
20160229 10:00:00 US/Eastern,36.39,36.4,36.26,36.33,1330340
20160229 10:15:00 US/Eastern,36.35,36.48,36.31,36.47,735420
20160229 10:30:00 US/Eastern,36.49,36.5,36.36,36.38,399920
20160229 10:45:00 US/Eastern,36.38,36.38,36.27,36.28,912520
20160229 11:00:00 US/Eastern,36.28,36.33,36.21,36.26,931280
20160229 11:15:00 US/Eastern,36.26,36.42,36.26,36.34,1106340
20160229 11:30:00 US/Eastern,36.33,36.49,36.33,36.46,630160
20160229 11:45:00 US/Eastern,36.45,36.51,36.42,36.45,617960
20160229 12:00:00 US/Eastern,36.46,36.46,36.36,36.4,660440
20160229 12:15:00 US/Eastern,36.4,36.43,36.34,36.38,442780
20160229 12:30:00 US/Eastern,36.38,36.47,36.36,36.44,504740
20160229 12:45:00 US/Eastern,36.47,36.52,36.43,36.51,478700
20160229 13:00:00 US/Eastern,36.52,36.53,36.41,36.41,890080
20160229 13:15:00 US/Eastern,36.4,36.44,36.34,36.34,421020
20160229 13:30:00 US/Eastern,36.31,36.4,36.28,36.38,551860
20160229 13:45:00 US/Eastern,36.39,36.41,36.32,36.36,731840
20160229 14:00:00 US/Eastern,36.34,36.39,36.26,36.27,493600
20160229 14:15:00 US/Eastern,36.27,36.3,36.18,36.2,589540
20160229 14:30:00 US/Eastern,36.21,36.22,36.07,36.11,672000
20160229 14:45:00 US/Eastern,36.11,36.21,36.09,36.09,594520
20160229 15:00:00 US/Eastern,36.08,36.11,35.98,36.01,908120
20160229 15:15:00 US/Eastern,36.01,36.08,35.96,36.04,1087680
20160229 15:30:00 US/Eastern,36.04,36.12,36.01,36.1,936400
20160229 15:45:00 US/Eastern,36.08,36.12,35.84,35.86,3800140
20160301 09:30:00 US/Eastern,36.07,36.23,35.93,36.01,4271660
20160301 09:45:00 US/Eastern,36.07,36.27,36.0,36.24,1384340
20160301 10:00:00 US/Eastern,36.24,36.47,36.21,36.46,2289520
20160301 10:15:00 US/Eastern,36.46,36.64,36.37,36.6,1813920
20160301 10:30:00 US/Eastern,36.58,36.71,36.58,36.7,1374560
20160301 10:45:00 US/Eastern,36.7,36.76,36.65,36.66,1944420
20160301 11:00:00 US/Eastern,36.67,36.73,36.65,36.71,880880
20160301 11:15:00 US/Eastern,36.7,36.74,36.65,36.66,962800
20160301 11:30:00 US/Eastern,36.67,36.84,36.66,36.82,1107180
20160301 11:45:00 US/Eastern,36.81,36.89,36.81,36.86,1004840
20160301 12:00:00 US/Eastern,36.86,36.98,36.86,36.93,1432660
20160301 12:15:00 US/Eastern,36.94,36.96,36.88,36.93,574900
20160301 12:30:00 US/Eastern,36.93,36.95,36.81,36.82,950520
20160301 12:45:00 US/Eastern,36.83,36.88,36.77,36.79,1258360
20160301 13:00:00 US/Eastern,36.81,36.82,36.75,36.76,900360
20160301 13:15:00 US/Eastern,36.77,36.8,36.74,36.76,820540
20160301 13:30:00 US/Eastern,36.76,36.86,36.74,36.85,827280
20160301 13:45:00 US/Eastern,36.85,36.88,36.82,36.86,907840
20160301 14:00:00 US/Eastern,36.87,36.98,36.85,36.94,1659620
20160301 14:15:00 US/Eastern,36.95,36.98,36.9,36.93,1347160
20160301 14:30:00 US/Eastern,36.91,37.0,36.9,36.96,1014820
20160301 14:45:00 US/Eastern,36.96,37.07,36.95,37.07,1148580
20160301 15:00:00 US/Eastern,37.08,37.12,37.04,37.07,1576860
20160301 15:15:00 US/Eastern,37.08,37.11,37.01,37.06,1478340
20160301 15:30:00 US/Eastern,37.05,37.06,36.94,36.98,2111080
20160301 15:45:00 US/Eastern,36.99,37.11,36.97,37.11,3583640
20160302 09:30:00 US/Eastern,37.14,37.16,36.88,36.94,2688100
20160302 09:45:00 US/Eastern,36.94,37.02,36.68,36.83,2567400
20160302 10:00:00 US/Eastern,36.82,36.99,36.81,36.99,1243800
20160302 10:15:00 US/Eastern,36.99,37.04,36.93,36.98,1361420
20160302 10:30:00 US/Eastern,36.98,36.98,36.81,36.84,972920
20160302 10:45:00 US/Eastern,36.86,36.89,36.82,36.87,775580
20160302 11:00:00 US/Eastern,36.86,37.02,36.84,36.91,1711720
20160302 11:15:00 US/Eastern,36.92,36.94,36.78,36.85,690320
20160302 11:30:00 US/Eastern,36.85,36.9,36.8,36.86,345620
20160302 11:45:00 US/Eastern,36.86,36.9,36.73,36.74,493080
20160302 12:00:00 US/Eastern,36.74,36.85,36.72,36.81,470600
20160302 12:15:00 US/Eastern,36.83,36.86,36.79,36.81,754340
20160302 12:30:00 US/Eastern,36.8,36.87,36.79,36.84,377060
20160302 12:45:00 US/Eastern,36.83,36.91,36.82,36.9,425900
20160302 13:00:00 US/Eastern,36.9,36.91,36.85,36.9,184100
20160302 13:15:00 US/Eastern,36.9,36.92,36.82,36.9,214020
20160302 13:30:00 US/Eastern,36.9,36.9,36.81,36.84,411100
20160302 13:45:00 US/Eastern,36.83,36.85,36.73,36.73,357360
20160302 14:00:00 US/Eastern,36.73,36.77,36.66,36.67,782740
20160302 14:15:00 US/Eastern,36.69,36.76,36.67,36.73,666300
20160302 14:30:00 US/Eastern,36.73,36.83,36.72,36.79,955680
20160302 14:45:00 US/Eastern,36.8,36.88,36.78,36.81,440600
20160302 15:00:00 US/Eastern,36.81,36.92,36.75,36.92,661400
20160302 15:15:00 US/Eastern,36.92,36.97,36.86,36.87,959780
20160302 15:30:00 US/Eastern,36.88,36.94,36.82,36.91,779980
20160302 15:45:00 US/Eastern,36.93,36.98,36.89,36.97,1656360
20160303 09:30:00 US/Eastern,36.97,37.05,36.77,36.8,2242400
20160303 09:45:00 US/Eastern,36.79,36.85,36.73,36.74,1227400
20160303 10:00:00 US/Eastern,36.75,36.78,36.62,36.63,1103600
20160303 10:15:00 US/Eastern,36.64,36.67,36.58,36.62,1626260
20160303 10:30:00 US/Eastern,36.63,36.68,36.59,36.61,1185500
20160303 10:45:00 US/Eastern,36.61,36.68,36.6,36.62,1036620
20160303 11:00:00 US/Eastern,36.62,36.65,36.57,36.61,952920
20160303 11:15:00 US/Eastern,36.61,36.65,36.5,36.59,890080
20160303 11:30:00 US/Eastern,36.6,36.66,36.57,36.62,424600
20160303 11:45:00 US/Eastern,36.62,36.67,36.62,36.66,400840
20160303 12:00:00 US/Eastern,36.65,36.69,36.59,36.59,572000
20160303 12:15:00 US/Eastern,36.6,36.61,36.54,36.56,499240
20160303 12:30:00 US/Eastern,36.55,36.6,36.54,36.58,389340
20160303 12:45:00 US/Eastern,36.58,36.59,36.52,36.55,449800
20160303 13:00:00 US/Eastern,36.57,36.61,36.52,36.54,528500
20160303 13:15:00 US/Eastern,36.53,36.56,36.48,36.5,1274840
20160303 13:30:00 US/Eastern,36.5,36.58,36.5,36.57,912860
20160303 13:45:00 US/Eastern,36.59,36.64,36.56,36.58,1085740
20160303 14:00:00 US/Eastern,36.57,36.65,36.53,36.64,505660
20160303 14:15:00 US/Eastern,36.64,36.66,36.59,36.6,491920
20160303 14:30:00 US/Eastern,36.59,36.6,36.51,36.52,700760
20160303 14:45:00 US/Eastern,36.52,36.59,36.5,36.52,1210600
20160303 15:00:00 US/Eastern,36.53,36.6,36.49,36.52,1359800
20160303 15:15:00 US/Eastern,36.52,36.54,36.48,36.51,1075000
20160303 15:30:00 US/Eastern,36.52,36.54,36.49,36.52,1387320
20160303 15:45:00 US/Eastern,36.52,36.58,36.5,36.58,3001660
20160304 09:30:00 US/Eastern,36.74,36.75,36.36,36.45,2506540
20160304 09:45:00 US/Eastern,36.44,36.5,36.29,36.4,1765800
20160304 10:00:00 US/Eastern,36.4,36.41,36.28,36.36,1706340
20160304 10:15:00 US/Eastern,36.36,36.41,36.29,36.33,1299460
20160304 10:30:00 US/Eastern,36.35,36.44,36.3,36.31,1610120
20160304 10:45:00 US/Eastern,36.32,36.42,36.31,36.39,1631960
20160304 11:00:00 US/Eastern,36.39,36.55,36.35,36.54,1094500
20160304 11:15:00 US/Eastern,36.54,36.61,36.52,36.59,854580
20160304 11:30:00 US/Eastern,36.59,36.62,36.47,36.54,943160
20160304 11:45:00 US/Eastern,36.53,36.53,36.42,36.47,1238540
20160304 12:00:00 US/Eastern,36.48,36.53,36.46,36.48,784380
20160304 12:15:00 US/Eastern,36.49,36.51,36.45,36.47,633220
20160304 12:30:00 US/Eastern,36.48,36.52,36.45,36.46,309500
20160304 12:45:00 US/Eastern,36.46,36.55,36.45,36.52,730980
20160304 13:00:00 US/Eastern,36.51,36.55,36.44,36.47,861820
20160304 13:15:00 US/Eastern,36.48,36.5,36.46,36.49,531680
20160304 13:30:00 US/Eastern,36.5,36.62,36.47,36.62,1123720
20160304 13:45:00 US/Eastern,36.61,36.73,36.6,36.72,1407580
20160304 14:00:00 US/Eastern,36.7,36.74,36.67,36.67,1083560
20160304 14:15:00 US/Eastern,36.66,36.68,36.55,36.61,597000
20160304 14:30:00 US/Eastern,36.59,36.62,36.49,36.5,1279080
20160304 14:45:00 US/Eastern,36.5,36.5,36.37,36.41,1895160
20160304 15:00:00 US/Eastern,36.41,36.46,36.39,36.43,970540
20160304 15:15:00 US/Eastern,36.43,36.55,36.43,36.52,919700
20160304 15:30:00 US/Eastern,36.53,36.56,36.47,36.55,1050700
20160304 15:45:00 US/Eastern,36.54,36.56,36.46,36.51,2553680
20160307 09:30:00 US/Eastern,36.26,36.36,36.09,36.16,3664520
20160307 09:45:00 US/Eastern,36.14,36.14,35.93,35.93,2350360
20160307 10:00:00 US/Eastern,35.93,36.07,35.88,35.91,2313060
20160307 10:15:00 US/Eastern,35.9,36.02,35.81,35.83,2001520
20160307 10:30:00 US/Eastern,35.82,35.92,35.77,35.84,1955460
20160307 10:45:00 US/Eastern,35.86,35.97,35.8,35.89,1410020
20160307 11:00:00 US/Eastern,35.87,35.91,35.8,35.91,1168060
20160307 11:15:00 US/Eastern,35.91,35.92,35.83,35.88,1160060
20160307 11:30:00 US/Eastern,35.89,35.97,35.85,35.97,1252380
20160307 11:45:00 US/Eastern,35.98,36.02,35.94,35.97,1390800
20160307 12:00:00 US/Eastern,35.97,35.99,35.86,35.86,595040
20160307 12:15:00 US/Eastern,35.86,35.88,35.83,35.87,692660
20160307 12:30:00 US/Eastern,35.86,35.91,35.85,35.9,362440
20160307 12:45:00 US/Eastern,35.91,35.93,35.81,35.83,418860
20160307 13:00:00 US/Eastern,35.82,35.91,35.82,35.9,903440
20160307 13:15:00 US/Eastern,35.9,35.92,35.77,35.78,1059200
20160307 13:30:00 US/Eastern,35.77,35.77,35.56,35.6,2140640
20160307 13:45:00 US/Eastern,35.59,35.62,35.45,35.45,1576800
20160307 14:00:00 US/Eastern,35.46,35.54,35.42,35.48,1304900
20160307 14:15:00 US/Eastern,35.5,35.5,35.33,35.35,1552500
20160307 14:30:00 US/Eastern,35.34,35.42,35.26,35.31,1063680
20160307 14:45:00 US/Eastern,35.29,35.41,35.29,35.38,1277280
20160307 15:00:00 US/Eastern,35.36,35.47,35.26,35.45,1309660
20160307 15:15:00 US/Eastern,35.46,35.64,35.46,35.6,1707120
20160307 15:30:00 US/Eastern,35.61,35.8,35.61,35.68,2643960
20160307 15:45:00 US/Eastern,35.7,35.71,35.57,35.65,3705880
20160308 09:30:00 US/Eastern,35.42,35.65,35.2,35.61,4791160
20160308 09:45:00 US/Eastern,35.59,36.0,35.51,35.73,3558060
20160308 10:00:00 US/Eastern,35.75,35.93,35.68,35.83,1122760
20160308 10:15:00 US/Eastern,35.82,35.89,35.63,35.68,1057100
20160308 10:30:00 US/Eastern,35.64,35.8,35.62,35.69,955500
20160308 10:45:00 US/Eastern,35.67,35.85,35.67,35.83,929080
20160308 11:00:00 US/Eastern,35.84,35.88,35.75,35.78,1403980
20160308 11:15:00 US/Eastern,35.78,35.89,35.73,35.85,595700
20160308 11:30:00 US/Eastern,35.84,35.97,35.76,35.96,1138860
20160308 11:45:00 US/Eastern,35.98,36.11,35.97,36.1,1501600
20160308 12:00:00 US/Eastern,36.1,36.11,35.99,35.99,643940
20160308 12:15:00 US/Eastern,35.99,36.06,35.94,35.95,773880
20160308 12:30:00 US/Eastern,35.97,35.98,35.88,35.93,533900
20160308 12:45:00 US/Eastern,35.94,35.98,35.86,35.93,704280
20160308 13:00:00 US/Eastern,35.93,35.96,35.87,35.87,317500
20160308 13:15:00 US/Eastern,35.88,36.02,35.85,35.97,471400
20160308 13:30:00 US/Eastern,35.99,36.04,35.95,35.95,573900
20160308 13:45:00 US/Eastern,35.96,36.01,35.95,35.99,456340
20160308 14:00:00 US/Eastern,35.98,36.01,35.91,35.94,507920
20160308 14:15:00 US/Eastern,35.96,35.99,35.86,35.89,720720
20160308 14:30:00 US/Eastern,35.89,35.91,35.74,35.84,440160
20160308 14:45:00 US/Eastern,35.87,35.87,35.68,35.75,947080
20160308 15:00:00 US/Eastern,35.75,35.78,35.69,35.71,931440
20160308 15:15:00 US/Eastern,35.71,35.72,35.61,35.66,720780
20160308 15:30:00 US/Eastern,35.66,35.71,35.6,35.66,1099880
20160308 15:45:00 US/Eastern,35.66,35.7,35.56,35.68,4498920
20160309 09:30:00 US/Eastern,35.75,35.92,35.63,35.87,2780460
20160309 09:45:00 US/Eastern,35.89,35.9,35.74,35.87,1282880
20160309 10:00:00 US/Eastern,35.87,36.14,35.85,36.05,1806340
20160309 10:15:00 US/Eastern,36.07,36.2,36.06,36.14,1080300
20160309 10:30:00 US/Eastern,36.16,36.3,36.1,36.22,1023220
20160309 10:45:00 US/Eastern,36.19,36.22,35.99,36.05,854400
20160309 11:00:00 US/Eastern,36.05,36.18,36.05,36.08,538480
20160309 11:15:00 US/Eastern,36.09,36.12,36.05,36.07,478660
20160309 11:30:00 US/Eastern,36.06,36.18,36.06,36.11,376780
20160309 11:45:00 US/Eastern,36.13,36.2,36.09,36.19,270040
20160309 12:00:00 US/Eastern,36.18,36.19,36.11,36.14,225020
20160309 12:15:00 US/Eastern,36.1,36.16,36.05,36.13,293960
20160309 12:30:00 US/Eastern,36.13,36.15,36.06,36.06,434000
20160309 12:45:00 US/Eastern,36.03,36.09,35.99,36.08,717540
20160309 13:00:00 US/Eastern,36.07,36.17,36.05,36.15,1205420
20160309 13:15:00 US/Eastern,36.15,36.17,36.07,36.13,309160
20160309 13:30:00 US/Eastern,36.12,36.18,36.12,36.15,613620
20160309 13:45:00 US/Eastern,36.16,36.29,36.14,36.25,486420
20160309 14:00:00 US/Eastern,36.24,36.31,36.22,36.23,1273040
20160309 14:15:00 US/Eastern,36.23,36.31,36.22,36.25,1494800
20160309 14:30:00 US/Eastern,36.24,36.25,36.16,36.22,864580
20160309 14:45:00 US/Eastern,36.2,36.25,36.15,36.2,744100
20160309 15:00:00 US/Eastern,36.2,36.24,36.12,36.13,744180
20160309 15:15:00 US/Eastern,36.13,36.16,36.07,36.14,872260
20160309 15:30:00 US/Eastern,36.12,36.19,36.1,36.17,1446740
20160309 15:45:00 US/Eastern,36.16,36.27,36.14,36.27,2510180
20160310 09:30:00 US/Eastern,36.39,36.63,36.16,36.53,2110180
20160310 09:45:00 US/Eastern,36.52,36.79,36.5,36.77,1663740
20160310 10:00:00 US/Eastern,36.76,36.79,36.68,36.74,1261200
20160310 10:15:00 US/Eastern,36.76,36.83,36.71,36.71,1099060
20160310 10:30:00 US/Eastern,36.72,36.72,36.34,36.64,1942360
20160310 10:45:00 US/Eastern,36.65,36.66,36.44,36.45,775700
20160310 11:00:00 US/Eastern,36.46,36.63,36.34,36.63,1049040
20160310 11:15:00 US/Eastern,36.59,36.63,36.34,36.37,936040
20160310 11:30:00 US/Eastern,36.37,36.55,36.34,36.47,569800
20160310 11:45:00 US/Eastern,36.48,36.57,36.47,36.5,385160
20160310 12:00:00 US/Eastern,36.49,36.6,36.49,36.54,346240
20160310 12:15:00 US/Eastern,36.57,36.57,36.46,36.52,618960
20160310 12:30:00 US/Eastern,36.54,36.54,36.3,36.3,943400
20160310 12:45:00 US/Eastern,36.3,36.39,36.29,36.36,543820
20160310 13:00:00 US/Eastern,36.39,36.42,36.17,36.2,996080
20160310 13:15:00 US/Eastern,36.22,36.36,36.21,36.33,952180
20160310 13:30:00 US/Eastern,36.31,36.36,36.22,36.25,707940
20160310 13:45:00 US/Eastern,36.25,36.33,36.2,36.25,839240
20160310 14:00:00 US/Eastern,36.28,36.32,36.22,36.32,465820
20160310 14:15:00 US/Eastern,36.33,36.53,36.3,36.48,1117960
20160310 14:30:00 US/Eastern,36.48,36.61,36.41,36.61,1019080
20160310 14:45:00 US/Eastern,36.6,36.65,36.54,36.54,1272820
20160310 15:00:00 US/Eastern,36.56,36.64,36.51,36.63,763920
20160310 15:15:00 US/Eastern,36.64,36.76,36.57,36.73,1678900
20160310 15:30:00 US/Eastern,36.72,36.72,36.55,36.6,1268220
20160310 15:45:00 US/Eastern,36.58,36.63,36.55,36.61,2240280
20160311 09:30:00 US/Eastern,37.0,37.04,36.84,37.01,2839100
20160311 09:45:00 US/Eastern,37.0,37.08,36.96,37.02,1208840
20160311 10:00:00 US/Eastern,37.04,37.06,36.88,36.97,1132220
20160311 10:15:00 US/Eastern,36.96,37.05,36.95,37.04,928100
20160311 10:30:00 US/Eastern,37.05,37.13,37.03,37.12,1001940
20160311 10:45:00 US/Eastern,37.12,37.16,36.98,37.02,1156260
20160311 11:00:00 US/Eastern,37.02,37.09,37.02,37.05,530720
20160311 11:15:00 US/Eastern,37.05,37.09,37.02,37.05,514640
20160311 11:30:00 US/Eastern,37.06,37.07,37.01,37.03,256940
20160311 11:45:00 US/Eastern,37.03,37.04,36.97,37.0,610880
20160311 12:00:00 US/Eastern,37.0,37.04,37.0,37.02,347480
20160311 12:15:00 US/Eastern,37.03,37.04,37.0,37.03,618560
20160311 12:30:00 US/Eastern,37.02,37.1,37.02,37.09,619760
20160311 12:45:00 US/Eastern,37.1,37.12,37.07,37.1,467040
20160311 13:00:00 US/Eastern,37.08,37.09,37.02,37.04,338460
20160311 13:15:00 US/Eastern,37.05,37.09,37.03,37.08,428180
20160311 13:30:00 US/Eastern,37.09,37.1,37.05,37.08,502180
