date,open,high,low,close,volume
20160226 09:30:00 US/Eastern,108.7,109.45,108.4,108.86,2810254
20160226 09:45:00 US/Eastern,108.87,109.2,108.63,108.9,1665932
20160226 10:00:00 US/Eastern,108.92,109.06,108.3,108.6,1824909
20160226 10:15:00 US/Eastern,108.6,108.7,108.26,108.45,939455
20160226 10:30:00 US/Eastern,108.45,109.01,108.39,108.9,1056288
20160226 10:45:00 US/Eastern,108.9,108.94,108.52,108.71,771137
20160226 11:00:00 US/Eastern,108.72,108.82,108.39,108.51,823460
20160226 11:15:00 US/Eastern,108.52,108.67,108.33,108.35,689124
20160226 11:30:00 US/Eastern,108.35,108.4,108.01,108.01,974203
20160226 11:45:00 US/Eastern,108.01,108.21,107.86,107.89,722828
20160226 12:00:00 US/Eastern,107.9,107.92,107.24,107.43,1837615
20160226 12:15:00 US/Eastern,107.44,107.63,107.35,107.5,706962
20160226 12:30:00 US/Eastern,107.51,107.63,107.22,107.23,688960
20160226 12:45:00 US/Eastern,107.23,107.87,107.16,107.66,819269
20160226 13:00:00 US/Eastern,107.64,108.04,107.58,107.7,634248
20160226 13:15:00 US/Eastern,107.7,107.72,107.45,107.58,367590
20160226 13:30:00 US/Eastern,107.58,107.9,107.53,107.61,515017
20160226 13:45:00 US/Eastern,107.61,107.77,107.45,107.71,433463
20160226 14:00:00 US/Eastern,107.71,108.01,107.69,107.87,555713
20160226 14:15:00 US/Eastern,107.86,108.2,107.75,108.16,687421
20160226 14:30:00 US/Eastern,108.15,108.15,107.5,107.8,821276
20160226 14:45:00 US/Eastern,107.8,107.98,107.71,107.81,625861
20160226 15:00:00 US/Eastern,107.82,108.1,107.75,108.02,679467
20160226 15:15:00 US/Eastern,108.02,108.14,107.86,107.97,544259
20160226 15:30:00 US/Eastern,107.97,108.11,107.93,108.05,557099
20160226 15:45:00 US/Eastern,108.04,108.1,107.87,107.9,1356507
20160229 09:30:00 US/Eastern,107.6,108.47,107.56,108.25,1770323
20160229 09:45:00 US/Eastern,108.28,108.92,108.21,108.54,1506813
20160229 10:00:00 US/Eastern,108.54,108.6,108.19,108.34,1170115
20160229 10:15:00 US/Eastern,108.34,108.67,108.21,108.35,781787
20160229 10:30:00 US/Eastern,108.35,108.47,108.0,108.02,744380
20160229 10:45:00 US/Eastern,108.03,108.25,107.56,107.69,1230893
20160229 11:00:00 US/Eastern,107.67,107.89,107.6,107.82,807145
20160229 11:15:00 US/Eastern,107.81,108.22,107.81,108.06,631396
20160229 11:30:00 US/Eastern,108.06,108.5,108.04,108.27,799360
20160229 11:45:00 US/Eastern,108.27,108.39,108.14,108.26,341818
20160229 12:00:00 US/Eastern,108.25,108.28,108.04,108.23,350871
20160229 12:15:00 US/Eastern,108.24,108.48,108.06,108.1,458955
20160229 12:30:00 US/Eastern,108.1,108.11,107.85,107.89,730037
20160229 12:45:00 US/Eastern,107.89,108.11,107.73,108.09,517392
20160229 13:00:00 US/Eastern,108.1,108.32,107.98,108.09,729957
20160229 13:15:00 US/Eastern,108.09,108.14,107.85,107.86,356953
20160229 13:30:00 US/Eastern,107.86,107.93,107.79,107.92,375328
20160229 13:45:00 US/Eastern,107.92,108.15,107.92,108.14,678663
20160229 14:00:00 US/Eastern,108.13,108.18,107.61,107.67,802586
20160229 14:15:00 US/Eastern,107.67,107.77,107.41,107.65,659279
20160229 14:30:00 US/Eastern,107.64,107.75,107.34,107.36,677941
20160229 14:45:00 US/Eastern,107.36,107.68,107.26,107.35,851354
20160229 15:00:00 US/Eastern,107.34,107.35,106.9,106.93,851840
20160229 15:15:00 US/Eastern,106.94,107.31,106.75,107.22,908569
20160229 15:30:00 US/Eastern,107.22,107.53,107.1,107.4,726999
20160229 15:45:00 US/Eastern,107.39,107.45,106.92,106.93,2085849
20160301 09:30:00 US/Eastern,107.83,108.32,107.6,108.18,1991872
20160301 09:45:00 US/Eastern,108.21,108.46,107.9,108.35,1453953
20160301 10:00:00 US/Eastern,108.36,108.8,108.35,108.72,1441773
20160301 10:15:00 US/Eastern,108.72,109.24,108.54,109.18,1418413
20160301 10:30:00 US/Eastern,109.18,109.47,109.02,109.19,1478178
20160301 10:45:00 US/Eastern,109.19,109.28,108.84,108.88,864902
20160301 11:00:00 US/Eastern,108.87,109.29,108.82,109.21,778330
20160301 11:15:00 US/Eastern,109.23,109.31,109.06,109.28,739336
20160301 11:30:00 US/Eastern,109.28,109.35,109.11,109.31,891666
20160301 11:45:00 US/Eastern,109.3,109.7,109.3,109.55,1023330
20160301 12:00:00 US/Eastern,109.55,109.79,109.47,109.63,945885
20160301 12:15:00 US/Eastern,109.64,109.74,109.48,109.72,484500
20160301 12:30:00 US/Eastern,109.72,109.77,109.41,109.51,745882
