date,open,high,low,close,volume
20160226 09:30:00 US/Eastern,0.8,0.8,0.79,0.79,24780720
20160226 09:45:00 US/Eastern,0.79,0.8,0.79,0.79,13758920
20160226 10:00:00 US/Eastern,0.79,0.79,0.79,0.79,15111040
20160226 10:15:00 US/Eastern,0.79,0.79,0.78,0.79,16754640
20160226 10:30:00 US/Eastern,0.79,0.79,0.78,0.79,15570840
20160226 10:45:00 US/Eastern,0.79,0.79,0.79,0.79,18620680
20160226 11:00:00 US/Eastern,0.79,0.79,0.79,0.79,15387880
20160226 11:15:00 US/Eastern,0.79,0.79,0.79,0.79,11890440
20160226 11:30:00 US/Eastern,0.79,0.79,0.79,0.79,9057760
20160226 11:45:00 US/Eastern,0.79,0.79,0.79,0.79,7134440
20160226 12:00:00 US/Eastern,0.79,0.79,0.79,0.79,8356040
20160226 12:15:00 US/Eastern,0.79,0.79,0.79,0.79,4118880
20160226 12:30:00 US/Eastern,0.79,0.79,0.79,0.79,7713520
20160226 12:45:00 US/Eastern,0.79,0.79,0.79,0.79,6886160
20160226 13:00:00 US/Eastern,0.79,0.79,0.79,0.79,3594880
20160226 13:15:00 US/Eastern,0.79,0.79,0.79,0.79,4306520
20160226 13:30:00 US/Eastern,0.79,0.79,0.79,0.79,5221160
20160226 13:45:00 US/Eastern,0.79,0.79,0.79,0.79,7569400
20160226 14:00:00 US/Eastern,0.79,0.79,0.79,0.79,8905080
20160226 14:15:00 US/Eastern,0.79,0.79,0.79,0.79,8268760
20160226 14:30:00 US/Eastern,0.79,0.79,0.79,0.79,21643320
20160226 14:45:00 US/Eastern,0.79,0.79,0.79,0.79,5933720
20160226 15:00:00 US/Eastern,0.79,0.79,0.79,0.79,13657280
20160226 15:15:00 US/Eastern,0.79,0.79,0.79,0.79,6121360
20160226 15:30:00 US/Eastern,0.79,0.79,0.79,0.79,14959760
20160226 15:45:00 US/Eastern,0.79,0.79,0.79,0.79,30350320
20160229 09:30:00 US/Eastern,0.79,0.8,0.78,0.79,14762800
20160229 09:45:00 US/Eastern,0.79,0.79,0.79,0.79,9128440
20160229 10:00:00 US/Eastern,0.79,0.79,0.79,0.79,6968400
20160229 10:15:00 US/Eastern,0.79,0.79,0.79,0.79,6908760
20160229 10:30:00 US/Eastern,0.79,0.79,0.79,0.79,5284000
