timestamp,open,high,low,close,volume,asset,asset_class,frequency,source_file
2020-08-11 13:30:00+00:00,183.57,183.98,183.2,183.81,4361654,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 13:45:00+00:00,183.81,183.86,182.44,182.53,2288732,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 14:00:00+00:00,182.53,183.36,182.2,183.18,2383270,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 14:15:00+00:00,183.18,183.38,182.74,182.92,1077821,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 14:30:00+00:00,182.94,183.71,182.65,183.68,1246845,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 14:45:00+00:00,183.65,183.73,183.07,183.15,1198616,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 15:00:00+00:00,183.14,183.54,182.93,183.18,601772,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 15:15:00+00:00,183.19,183.41,182.52,182.56,859179,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 15:30:00+00:00,182.56,182.84,182.43,182.74,678408,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 15:45:00+00:00,182.75,182.9,182.02,182.51,1481445,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 16:00:00+00:00,182.55,183.0,182.31,182.76,960797,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 16:15:00+00:00,182.77,183.17,182.69,183.07,902964,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 16:30:00+00:00,183.06,183.07,182.57,182.67,421270,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 16:45:00+00:00,182.66,182.75,182.32,182.39,496114,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 17:00:00+00:00,182.4,182.65,181.49,181.83,1166160,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 17:15:00+00:00,181.82,182.09,181.48,181.88,1538231,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 17:30:00+00:00,181.88,182.12,181.63,181.75,689799,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 17:45:00+00:00,181.75,181.87,180.62,180.88,1556444,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 18:00:00+00:00,180.89,180.91,180.3,180.36,1729681,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 18:15:00+00:00,180.36,180.85,179.63,179.65,1413247,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 18:30:00+00:00,179.65,180.16,179.43,179.92,1760378,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 18:45:00+00:00,179.93,180.67,179.72,180.6,1195846,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 19:00:00+00:00,180.62,181.13,180.46,181.09,1126337,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 19:15:00+00:00,181.09,181.11,180.42,180.74,930772,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 19:30:00+00:00,180.74,180.77,180.03,180.54,1366484,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-11 19:45:00+00:00,180.53,180.57,179.92,179.98,2436792,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 13:30:00+00:00,182.61,182.77,181.81,182.24,1705568,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 13:45:00+00:00,182.26,182.35,181.56,181.99,1106180,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 14:00:00+00:00,181.98,182.02,181.0,181.77,1125451,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 14:15:00+00:00,181.78,182.36,181.58,182.29,826623,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 14:30:00+00:00,182.29,182.45,181.94,182.13,664056,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 14:45:00+00:00,182.13,182.98,182.04,182.96,635609,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 15:00:00+00:00,182.96,182.99,182.61,182.63,636192,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 15:15:00+00:00,182.65,182.71,182.04,182.08,604010,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 15:30:00+00:00,182.08,182.54,182.03,182.52,627138,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 15:45:00+00:00,182.51,182.74,182.33,182.39,620840,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 16:00:00+00:00,182.39,182.92,182.38,182.69,473635,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 16:15:00+00:00,182.7,182.88,182.44,182.7,328221,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 16:30:00+00:00,182.71,183.1,182.7,183.09,487736,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 16:45:00+00:00,183.07,183.08,182.64,182.87,368455,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 17:00:00+00:00,182.85,183.07,182.57,182.57,371496,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 17:15:00+00:00,182.58,182.77,182.0,182.1,794784,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 17:30:00+00:00,182.09,182.25,181.52,181.93,627767,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 17:45:00+00:00,181.92,182.19,181.73,181.96,623333,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 18:00:00+00:00,181.96,182.23,181.9,181.97,505519,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 18:15:00+00:00,181.96,181.98,181.56,181.62,877205,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 18:30:00+00:00,181.63,181.76,181.38,181.62,767330,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 18:45:00+00:00,181.61,181.63,181.04,181.09,927627,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 19:00:00+00:00,181.09,181.41,180.89,181.2,743158,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 19:15:00+00:00,181.19,181.19,180.47,180.87,721825,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 19:30:00+00:00,180.87,180.9,180.3,180.31,1161938,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-12 19:45:00+00:00,180.32,180.43,179.04,179.14,3164644,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 13:30:00+00:00,181.56,182.08,181.36,182.07,701877,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 13:45:00+00:00,182.05,182.45,181.7,182.32,724021,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 14:00:00+00:00,182.32,182.66,182.13,182.44,939110,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 14:15:00+00:00,182.44,182.97,182.22,182.73,724020,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 14:30:00+00:00,182.73,183.28,182.53,182.61,708046,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 14:45:00+00:00,182.64,183.01,182.36,182.94,507147,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 15:00:00+00:00,182.92,183.16,182.68,182.94,312274,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 15:15:00+00:00,182.97,183.07,182.54,183.01,327171,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 15:30:00+00:00,183.01,183.12,182.73,182.98,259696,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 15:45:00+00:00,182.98,183.09,182.65,182.73,173326,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 16:00:00+00:00,182.7,182.95,182.59,182.9,148760,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 16:15:00+00:00,182.88,182.96,182.81,182.91,102375,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 16:30:00+00:00,182.91,183.17,182.9,183.13,235142,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 16:45:00+00:00,183.1,183.68,183.05,183.55,531796,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 17:00:00+00:00,183.55,183.9,183.34,183.87,568196,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 17:15:00+00:00,183.9,184.43,183.7,184.24,923046,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 17:30:00+00:00,184.25,184.7,184.1,184.27,846077,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 17:45:00+00:00,184.29,184.51,183.87,183.9,472159,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 18:00:00+00:00,183.91,183.92,183.37,183.48,487118,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 18:15:00+00:00,183.48,183.49,181.97,182.5,1574188,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 18:30:00+00:00,182.45,182.66,182.06,182.43,606182,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 18:45:00+00:00,182.48,183.45,182.48,183.17,544006,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 19:00:00+00:00,183.17,183.35,182.68,182.77,355474,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 19:15:00+00:00,182.77,183.1,182.67,182.97,464191,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 19:30:00+00:00,182.97,183.23,182.61,183.09,415177,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-13 19:45:00+00:00,183.11,183.59,183.06,183.35,932428,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 13:30:00+00:00,183.44,183.72,182.97,183.28,686815,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 13:45:00+00:00,183.29,183.39,182.94,182.95,400366,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 14:00:00+00:00,182.95,182.95,182.47,182.59,1277678,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 14:15:00+00:00,182.59,182.98,182.4,182.73,185021,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 14:30:00+00:00,182.73,182.93,182.54,182.79,306583,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 14:45:00+00:00,182.79,183.05,182.66,182.92,159733,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 15:00:00+00:00,182.93,183.08,182.8,182.98,228512,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 15:15:00+00:00,182.98,183.0,182.64,182.7,177564,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 15:30:00+00:00,182.73,182.79,182.45,182.65,396632,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 15:45:00+00:00,182.64,182.67,182.18,182.54,382680,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 16:00:00+00:00,182.54,182.72,182.41,182.55,380259,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 16:15:00+00:00,182.55,182.55,182.29,182.42,119626,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
2020-08-14 16:30:00+00:00,182.43,182.44,181.68,182.0,555974,GLD,commodities,15min,15min/commodities/COMMODITIES_GLD_15m.csv
