timestamp,open,high,low,close,volume,asset,asset_class,frequency,source_file
2016-02-26 14:30:00+00:00,36.68,36.74,36.53,36.65,3599060,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 14:45:00+00:00,36.64,36.81,36.64,36.74,2646200,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 15:00:00+00:00,36.74,36.76,36.58,36.58,1601100,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 15:15:00+00:00,36.59,36.6,36.36,36.44,1560540,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 15:30:00+00:00,36.43,36.66,36.43,36.65,1294380,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 15:45:00+00:00,36.64,36.7,36.56,36.65,825700,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 16:00:00+00:00,36.65,36.65,36.5,36.51,615140,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 16:15:00+00:00,36.51,36.55,36.46,36.48,792600,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 16:30:00+00:00,36.45,36.49,36.34,36.39,1364500,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 16:45:00+00:00,36.37,36.44,36.35,36.35,693900,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 17:00:00+00:00,36.35,36.36,36.15,36.25,1173440,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 17:15:00+00:00,36.24,36.27,36.19,36.21,1188060,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 17:30:00+00:00,36.22,36.27,36.18,36.21,672620,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 17:45:00+00:00,36.2,36.33,36.18,36.29,659580,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 18:00:00+00:00,36.3,36.34,36.25,36.27,483100,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 18:15:00+00:00,36.26,36.27,36.22,36.24,624420,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 18:30:00+00:00,36.22,36.3,36.16,36.19,859060,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 18:45:00+00:00,36.19,36.23,36.1,36.13,764520,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 19:00:00+00:00,36.14,36.21,36.11,36.13,648080,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 19:15:00+00:00,36.13,36.27,36.1,36.25,477020,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 19:30:00+00:00,36.25,36.27,36.11,36.19,649900,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 19:45:00+00:00,36.19,36.26,36.13,36.17,576000,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 20:00:00+00:00,36.19,36.27,36.15,36.24,643960,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 20:15:00+00:00,36.22,36.27,36.18,36.21,474640,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 20:30:00+00:00,36.22,36.29,36.21,36.28,997540,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-26 20:45:00+00:00,36.27,36.29,36.21,36.24,2986800,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 14:30:00+00:00,36.05,36.32,36.01,36.29,2961580,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 14:45:00+00:00,36.3,36.47,36.23,36.4,1594940,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 15:00:00+00:00,36.39,36.4,36.26,36.33,1330340,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 15:15:00+00:00,36.35,36.48,36.31,36.47,735420,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 15:30:00+00:00,36.49,36.5,36.36,36.38,399920,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 15:45:00+00:00,36.38,36.38,36.27,36.28,912520,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 16:00:00+00:00,36.28,36.33,36.21,36.26,931280,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 16:15:00+00:00,36.26,36.42,36.26,36.34,1106340,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 16:30:00+00:00,36.33,36.49,36.33,36.46,630160,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 16:45:00+00:00,36.45,36.51,36.42,36.45,617960,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 17:00:00+00:00,36.46,36.46,36.36,36.4,660440,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 17:15:00+00:00,36.4,36.43,36.34,36.38,442780,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 17:30:00+00:00,36.38,36.47,36.36,36.44,504740,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 17:45:00+00:00,36.47,36.52,36.43,36.51,478700,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 18:00:00+00:00,36.52,36.53,36.41,36.41,890080,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 18:15:00+00:00,36.4,36.44,36.34,36.34,421020,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 18:30:00+00:00,36.31,36.4,36.28,36.38,551860,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 18:45:00+00:00,36.39,36.41,36.32,36.36,731840,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 19:00:00+00:00,36.34,36.39,36.26,36.27,493600,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 19:15:00+00:00,36.27,36.3,36.18,36.2,589540,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 19:30:00+00:00,36.21,36.22,36.07,36.11,672000,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 19:45:00+00:00,36.11,36.21,36.09,36.09,594520,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
2016-02-29 20:00:00+00:00,36.08,36.11,35.98,36.01,908120,GOOGL,equities,15min,15min/equities/GOOGL_15mins_2016-02-26_2026-03-01.csv
