bar_index,strategy,config_source,asset,asset_class,frequency,split,timestamp,gross_equity,net_equity,net_return,drawdown,cost_bps,dataset_note
0,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-12 14:30:00+00:00,100000.0,99980.0,-0.02,0.0,1.0,Daily data excluded from curve outputs because these are intraday strategies.
1,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-12 15:00:00+00:00,99341.080361,99301.216145,-0.67892,-0.67892,1.0,Daily data excluded from curve outputs because these are intraday strategies.
2,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-12 16:00:00+00:00,99341.080361,99281.355902,-0.02,-0.698784,1.0,Daily data excluded from curve outputs because these are intraday strategies.
3,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-13 14:30:00+00:00,101343.617164,101263.635926,1.996629,0.0,1.0,Daily data excluded from curve outputs because these are intraday strategies.
4,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-17 15:00:00+00:00,101343.617164,101243.383199,-0.02,-0.02,1.0,Daily data excluded from curve outputs because these are intraday strategies.
5,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-17 16:00:00+00:00,100928.08982,100807.690284,-0.430342,-0.450256,1.0,Daily data excluded from curve outputs because these are intraday strategies.
6,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-18 15:00:00+00:00,100928.08982,100787.528746,-0.02,-0.470166,1.0,Daily data excluded from curve outputs because these are intraday strategies.
7,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-18 17:00:00+00:00,101095.196566,100934.444564,0.145768,-0.325083,1.0,Daily data excluded from curve outputs because these are intraday strategies.
8,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-18 18:00:00+00:00,101095.196566,100914.257675,-0.02,-0.345018,1.0,Daily data excluded from curve outputs because these are intraday strategies.
9,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-18 18:30:00+00:00,100799.263106,100598.200551,-0.313194,-0.657132,1.0,Daily data excluded from curve outputs because these are intraday strategies.
10,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-20 15:00:00+00:00,100799.263106,100578.080911,-0.02,-0.677,1.0,Daily data excluded from curve outputs because these are intraday strategies.
11,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-20 15:30:00+00:00,100542.710557,100301.464056,-0.275027,-0.950165,1.0,Daily data excluded from curve outputs because these are intraday strategies.
12,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-20 16:00:00+00:00,100542.710557,100281.403763,-0.02,-0.969975,1.0,Daily data excluded from curve outputs because these are intraday strategies.
13,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-20 16:30:00+00:00,100073.994477,99792.725146,-0.487307,-1.452556,1.0,Daily data excluded from curve outputs because these are intraday strategies.
14,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-20 19:00:00+00:00,100073.994477,99772.766601,-0.02,-1.472265,1.0,Daily data excluded from curve outputs because these are intraday strategies.
15,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-23 14:30:00+00:00,100050.853696,99729.675895,-0.043189,-1.514818,1.0,Daily data excluded from curve outputs because these are intraday strategies.
16,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-23 15:00:00+00:00,100050.853696,99709.729959,-0.02,-1.534515,1.0,Daily data excluded from curve outputs because these are intraday strategies.
17,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-23 18:30:00+00:00,100510.64552,100149.487879,0.441038,-1.100245,1.0,Daily data excluded from curve outputs because these are intraday strategies.
18,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-23 19:00:00+00:00,100510.64552,100129.457982,-0.02,-1.120025,1.0,Daily data excluded from curve outputs because these are intraday strategies.
19,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-24 15:00:00+00:00,100252.173476,99851.01174,-0.278086,-1.394997,1.0,Daily data excluded from curve outputs because these are intraday strategies.
20,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-24 15:30:00+00:00,100252.173476,99831.041538,-0.02,-1.414718,1.0,Daily data excluded from curve outputs because these are intraday strategies.
21,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-24 16:00:00+00:00,100226.189402,99785.096453,-0.046023,-1.460089,1.0,Daily data excluded from curve outputs because these are intraday strategies.
22,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-24 17:30:00+00:00,100226.189402,99765.139433,-0.02,-1.479797,1.0,Daily data excluded from curve outputs because these are intraday strategies.
23,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-25 14:30:00+00:00,101213.014929,100731.814567,0.968951,-0.525185,1.0,Daily data excluded from curve outputs because these are intraday strategies.
24,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-26 14:30:00+00:00,101213.014929,100711.668204,-0.02,-0.54508,1.0,Daily data excluded from curve outputs because these are intraday strategies.
25,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-26 16:30:00+00:00,102301.220661,101779.513962,1.0603,0.0,1.0,Daily data excluded from curve outputs because these are intraday strategies.
26,Strategy0 / Baseline,taken_fixed,SPY,equities,5min,full,2026-02-26 17:00:00+00:00,102301.220661,101759.158059,-0.02,-0.02,1.0,Daily data excluded from curve outputs because these are intraday strategies.
