asset,asset_class,strategy,split,final_gross_equity,final_equity,gross_total_return,net_total_return,total_return_pct,gross_sharpe,net_sharpe,sharpe_ratio,max_drawdown_pct,num_trades,win_rate,avg_win_pct,avg_loss_pct,cost_bps,total_transaction_cost,total_turnover,signal_count
DBC,commodities,Strategy0 / Baseline,full,99549.98,44819.22,-0.450017,-55.180781,-55.180781,0.08424,-1.10573,-1.10573,-63.052804,1350,0.29037,1.079235,-0.516555,1.5,54730.764104,364871760.691079,2700
DBC,commodities,Strategy1 / Asymmetric Intervals,full,94611.05,38781.17,-5.388947,-61.218834,-61.218834,-0.05413,-1.601265,-1.601265,-69.220342,1591,0.243872,1.040368,-0.408005,1.5,55829.887303,372199248.68857,3182
DBC,commodities,Strategy2 / EMA Filter,full,85832.99,44026.96,-14.167014,-55.973045,-55.973045,-0.204032,-1.008491,-1.008491,-62.593474,1156,0.289792,1.113459,-0.544925,1.5,41806.03061,278706870.734708,2312
DBC,commodities,Strategy3 / Exit Confirmation,full,108435.96,59478.1,8.435955,-40.521904,-40.521904,0.142097,-0.319664,-0.319664,-55.572646,1013,0.335637,1.353868,-0.745724,1.5,48957.8587,326385724.669446,2026
DBC,commodities,Strategy4 / EMA + Confirmation,full,99472.45,59339.09,-0.527552,-40.660908,-40.660908,0.060857,-0.354264,-0.354264,-52.245284,910,0.342857,1.351165,-0.775816,1.5,40133.356204,267555708.024236,1820
GLD,commodities,Strategy0 / Baseline,full,114987.15,82507.07,14.987145,-17.492934,-17.492934,0.597991,-0.548647,-0.548647,-22.421533,1251,0.286171,0.556276,-0.242179,1.5,32480.079197,216533861.316587,2502
GLD,commodities,Strategy1 / Asymmetric Intervals,full,113943.03,76079.72,13.943034,-23.920282,-23.920282,0.668465,-0.94388,-0.94388,-27.440828,1498,0.241656,0.535202,-0.192887,1.5,37863.316355,252422109.034425,2996
GLD,commodities,Strategy2 / EMA Filter,full,105871.53,78777.24,5.87153,-21.222764,-21.222764,0.236264,-0.617384,-0.617384,-25.725889,1065,0.28169,0.586696,-0.258737,1.5,27094.293724,180628624.825265,2130
GLD,commodities,Strategy3 / Exit Confirmation,full,109486.78,86028.13,9.486782,-13.971874,-13.971874,0.198744,-0.181589,-0.181589,-27.131525,922,0.341649,0.662002,-0.36345,1.5,23458.655326,156391035.504278,1844
GLD,commodities,Strategy4 / EMA + Confirmation,full,96214.81,76133.88,-3.78519,-23.866118,-23.866118,-0.041361,-0.439991,-0.439991,-31.110035,824,0.342233,0.641267,-0.379489,1.5,20080.928006,133872853.374779,1648
