strategy,optimizer,asset,asset_class,frequency,iteration,candidate_id,params_json,train_net_sharpe,train_gross_sharpe,train_sharpe,train_net_return,train_return,train_volatility,train_max_drawdown,train_trade_count,train_total_cost,train_turnover,cost_bps,valid
Strategy0 / Baseline,NES,DBC,commodities,15min,0,1,"{""entry_interval"": 37, ""lookback"": 15, ""vol_target"": 0.011576}",-2.287177,-0.155224,-2.287177,-29.987655,-29.987655,72.265007,-33.165455,611,24594.656818,0.064734,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,0,2,"{""entry_interval"": 18, ""lookback"": 18, ""vol_target"": 0.005}",-3.017654,-0.847103,-3.017654,-15.896453,-15.896453,30.0495,-17.436179,596,10901.803068,0.028694,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,0,3,"{""entry_interval"": 30, ""lookback"": 15, ""vol_target"": 0.017438}",-1.871117,0.911523,-1.871117,-35.082038,-35.082038,68.197321,-40.775259,940,45605.469055,0.120035,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,0,4,"{""entry_interval"": 37, ""lookback"": 10, ""vol_target"": 0.027123}",-2.104192,-0.094379,-2.104192,-34.272401,-34.272401,89.255803,-37.312611,605,27802.07457,0.073176,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,0,5,"{""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",-2.290766,-0.207569,-2.290766,-36.141034,-36.141034,87.572099,-39.572113,616,28265.051151,0.074394,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,0,6,"{""entry_interval"": 42, ""lookback"": 10, ""vol_target"": 0.035803}",-2.104192,-0.094379,-2.104192,-34.272401,-34.272401,89.255803,-37.312611,605,27802.07457,0.073176,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,0,7,"{""entry_interval"": 30, ""lookback"": 13, ""vol_target"": 0.022562}",-1.660501,1.141955,-1.660501,-32.128592,-32.128592,68.459413,-37.776968,928,46646.289144,0.122774,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,0,8,"{""entry_interval"": 23, ""lookback"": 18, ""vol_target"": 0.012877}",-3.018004,-0.922188,-3.018004,-38.048145,-38.048145,77.377185,-40.818947,596,23729.1111,0.062456,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,1,9,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-1.842645,0.424006,-1.842645,-31.736266,-31.736266,88.480498,-33.878646,620,32429.419117,0.085355,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,1,10,"{""entry_interval"": 52, ""lookback"": 5, ""vol_target"": 0.05}",-1.842645,0.424006,-1.842645,-31.736266,-31.736266,88.480498,-33.878646,620,32429.419117,0.085355,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,1,11,"{""entry_interval"": 58, ""lookback"": 9, ""vol_target"": 0.049608}",-1.14228,0.925877,-1.14228,-22.819257,-22.819257,89.153275,-32.026847,601,30793.406152,0.081049,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,1,12,"{""entry_interval"": 59, ""lookback"": 5, ""vol_target"": 0.05}",-1.842645,0.424006,-1.842645,-31.736266,-31.736266,88.480498,-33.878646,620,32429.419117,0.085355,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,1,13,"{""entry_interval"": 56, ""lookback"": 5, ""vol_target"": 0.041143}",-1.842645,0.424006,-1.842645,-31.736266,-31.736266,88.480498,-33.878646,620,32429.419117,0.085355,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,1,14,"{""entry_interval"": 60, ""lookback"": 9, ""vol_target"": 0.047103}",-1.14228,0.925877,-1.14228,-22.819257,-22.819257,89.153275,-32.026847,601,30793.406152,0.081049,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,1,15,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-1.842645,0.424006,-1.842645,-31.736266,-31.736266,88.480498,-33.878646,620,32429.419117,0.085355,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,1,16,"{""entry_interval"": 60, ""lookback"": 8, ""vol_target"": 0.040394}",-1.714051,0.351386,-1.714051,-29.366424,-29.366424,88.493415,-34.74877,598,29027.706719,0.076402,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,2,17,"{""entry_interval"": 60, ""lookback"": 20, ""vol_target"": 0.036563}",-2.753805,-0.686197,-2.753805,-39.842473,-39.842473,88.816933,-43.365589,587,26324.659418,0.069287,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,2,18,"{""entry_interval"": 60, ""lookback"": 24, ""vol_target"": 0.042393}",-1.764659,0.219116,-1.764659,-30.413645,-30.413645,90.535608,-35.423313,593,28091.686045,0.073938,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,2,19,"{""entry_interval"": 56, ""lookback"": 30, ""vol_target"": 0.03615}",-2.200169,-0.148835,-2.200169,-34.607448,-34.607448,90.866532,-37.405233,578,27453.309833,0.072258,1.5,True
