strategy,optimizer,asset,asset_class,frequency,split,gross_total_return,net_total_return,total_return,annualized_return,annualized_volatility,gross_sharpe,net_sharpe,sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,cost_bps,config_source
Strategy0 / Baseline,NES,DBC,commodities,15min,train,12.778258,-32.878608,-32.878608,-9.777263,68.270906,1.051218,-1.733294,-1.733294,-3.417376,-38.254656,-0.255584,0.297619,0.12017,45656.86585,924,-35.582909,0.305421,1.5,baseline
Strategy0 / Baseline,NES,DBC,commodities,15min,validation,-15.08936,-23.940122,-23.940122,-28.403165,59.72557,-4.307376,-6.957537,-6.957537,-8.450881,-29.398823,-0.966133,0.285024,0.110372,8850.761348,207,-115.652761,0.297232,1.5,baseline
Strategy0 / Baseline,NES,DBC,commodities,15min,train,10.523431,-35.082038,-35.082038,-10.551871,68.197321,0.911523,-1.871117,-1.871117,-3.657773,-40.775259,-0.258781,0.292553,0.120035,45605.469055,940,-37.321317,0.305815,1.5,optimized
Strategy0 / Baseline,NES,DBC,commodities,15min,validation,-13.51328,-21.191266,-21.191266,-25.229804,50.753326,-4.488801,-7.143277,-7.143277,-8.690861,-27.112799,-0.93055,0.278846,0.095747,7677.986305,208,-101.881087,0.299663,1.5,optimized
Strategy0 / Baseline,NES,GLD,commodities,15min,train,19.183248,-23.319146,-23.319146,-6.642292,61.256727,1.620109,-1.374401,-1.374401,-2.512813,-34.37569,-0.193226,0.277778,0.111863,42502.393795,846,-27.564003,0.285274,1.5,baseline
Strategy0 / Baseline,NES,GLD,commodities,15min,validation,2.515525,-3.981129,-3.981129,-4.83745,32.481665,1.405105,-1.795788,-1.795788,-3.032535,-11.55146,-0.418774,0.296651,0.081016,6496.653806,209,-19.048463,0.331463,1.5,baseline
Strategy0 / Baseline,NES,GLD,commodities,15min,train,0.853665,-39.787706,-39.787706,-12.30607,59.715987,0.300518,-2.862179,-2.862179,-4.790913,-43.90278,-0.280303,0.296254,0.106965,40641.370899,881,-45.161982,0.292894,1.5,optimized
Strategy0 / Baseline,NES,GLD,commodities,15min,validation,15.630433,3.442236,3.442236,4.217085,62.043413,4.248775,1.179483,1.179483,2.205916,-10.83948,0.389049,0.309179,0.151991,12188.196985,207,16.629162,0.332211,1.5,optimized
Strategy0 / Baseline,NES,SLV,commodities,15min,train,-13.097256,-34.262093,-34.262093,-10.276386,58.793061,-0.810075,-2.517782,-2.517782,-4.096552,-36.274642,-0.283294,0.31851,0.055704,21164.837496,832,-41.1804,0.2833,1.5,baseline
Strategy0 / Baseline,NES,SLV,commodities,15min,validation,3.714023,-3.524026,-3.524026,-4.287888,71.901633,1.275978,-0.532501,-0.532501,-1.052539,-10.868208,-0.394535,0.309783,0.090261,7238.049308,184,-19.152315,0.295922,1.5,baseline
Strategy0 / Baseline,NES,SLV,commodities,15min,train,-15.347793,-49.914776,-49.914776,-16.367097,110.682749,-0.252781,-1.743255,-1.743255,-2.874737,-52.807816,-0.309937,0.338926,0.090978,34566.982313,894,-55.833082,0.291354,1.5,optimized
Strategy0 / Baseline,NES,SLV,commodities,15min,validation,11.285865,2.612802,2.612802,3.200903,76.559463,2.802113,0.950329,0.950329,1.967805,-11.352492,0.281956,0.319588,0.108156,8673.06302,194,13.468052,0.309764,1.5,optimized
Strategy0 / Baseline,NES,USO,commodities,15min,train,-14.426164,-48.527701,-48.527701,-15.75315,103.672146,-0.219012,-1.726255,-1.726255,-3.210692,-61.02242,-0.258153,0.321277,0.089753,34101.537417,940,-51.625214,0.30454,1.5,baseline
Strategy0 / Baseline,NES,USO,commodities,15min,validation,-15.940899,-20.55175,-20.55175,-24.627998,43.744807,-6.182645,-7.999104,-7.999104,-10.816882,-24.476917,-1.006172,0.319048,0.057499,4610.850951,210,-97.865477,0.310513,1.5,baseline
Strategy0 / Baseline,NES,USO,commodities,15min,train,-18.366028,-45.204783,-45.204783,-14.382045,107.048426,-0.411352,-1.608941,-1.608941,-2.786072,-62.559555,-0.229894,0.300464,0.070638,26838.755296,862,-52.441744,0.298895,1.5,optimized
Strategy0 / Baseline,NES,USO,commodities,15min,validation,-25.153047,-30.223688,-30.223688,-35.743002,64.004831,-7.671746,-9.239521,-9.239521,-11.937751,-36.789196,-0.971562,0.295337,0.063233,5070.64068,193,-156.599417,0.314254,1.5,optimized
Strategy0 / Baseline,NES,BNBUSDT,crypto,15min,train,-32.915044,-99.130204,-99.130204,-70.603511,205.892804,0.128133,-2.683244,-2.683244,-6.521672,-99.761754,-0.707721,0.21826,0.01217,66215.159551,2103,-47.13752,0.281758,4.0,baseline
Strategy0 / Baseline,NES,BNBUSDT,crypto,15min,validation,-0.359021,-63.246252,-63.246252,-70.177114,188.101739,0.598668,-2.793778,-2.793778,-7.537357,-81.306161,-0.863122,0.208768,0.053903,62887.230422,479,-132.038103,0.299277,4.0,baseline
Strategy0 / Baseline,NES,BNBUSDT,crypto,15min,train,-33.177368,-98.947703,-98.947703,-69.122624,304.64876,0.456312,-1.876383,-1.876383,-4.014223,-99.82672,-0.692426,0.273919,0.012088,65770.334995,1526,-64.841221,0.280221,4.0,optimized
Strategy0 / Baseline,NES,BNBUSDT,crypto,15min,validation,99.767068,30.354035,30.354035,37.771382,239.992594,4.51698,2.205722,2.205722,6.225737,-59.537567,0.634413,0.28882,0.059496,69413.032694,322,94.267189,0.294099,4.0,optimized
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,train,82.51151,-75.310749,-75.310749,-30.296903,194.209444,1.471174,-0.294255,-0.294255,-0.779956,-80.134607,-0.378075,0.223394,0.029007,157822.258867,1992,-37.806601,0.286338,4.0,baseline
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,validation,30.314148,-9.490152,-9.490152,-11.458873,103.503786,2.775675,-0.252617,-0.252617,-0.605635,-32.06805,-0.35733,0.273159,0.034118,39804.29973,421,-22.541928,0.312854,4.0,baseline
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,train,110.450368,-53.666059,-53.666059,-18.00451,248.06232,1.827863,0.459675,0.459675,1.05668,-76.770197,-0.234525,0.293023,0.030164,164116.427023,1505,-35.658511,0.306879,4.0,optimized
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,validation,102.170247,36.399599,36.399599,46.072756,193.178085,5.300256,2.560314,2.560314,5.798711,-40.615435,1.134366,0.354232,0.056374,65770.648142,319,114.105327,0.33267,4.0,optimized
Strategy0 / Baseline,NES,ETHUSDT,crypto,15min,train,-2.909607,-82.269039,-82.269039,-36.003766,117.649949,0.276919,-1.742716,-1.742716,-3.742299,-84.537222,-0.425892,0.240652,0.014586,79359.431886,2086,-39.438657,0.299299,4.0,baseline
Strategy0 / Baseline,NES,ETHUSDT,crypto,15min,validation,28.31759,9.636582,9.636582,11.761871,65.923364,3.467418,1.3919,1.3919,4.178435,-15.580735,0.754898,0.248244,0.016012,18681.008199,427,22.568107,0.287002,4.0,baseline
Strategy0 / Baseline,NES,ETHUSDT,crypto,15min,train,-10.572142,-36.182448,-36.182448,-10.942654,38.843179,-0.547222,-2.334928,-2.334928,-4.357144,-37.662568,-0.290545,0.27485,0.004707,25610.30662,1499,-24.137724,0.294337,4.0,optimized
Strategy0 / Baseline,NES,ETHUSDT,crypto,15min,validation,8.530593,5.411665,5.411665,6.576959,21.134689,4.87635,3.128066,3.128066,8.440212,-4.265319,1.541962,0.321033,0.002673,3118.928074,271,19.969242,0.280008,4.0,optimized
Strategy0 / Baseline,NES,SOLUSDT,crypto,15min,train,-46.516723,-78.638867,-78.638867,-32.86049,88.852408,-1.114399,-2.207106,-2.207106,-4.393521,-79.568415,-0.412984,0.25452,0.005904,32122.144965,2157,-36.457519,0.300174,4.0,baseline
Strategy0 / Baseline,NES,SOLUSDT,crypto,15min,validation,7.878275,-18.263931,-18.263931,-21.632559,101.776427,1.041819,-0.916159,-0.916159,-2.067851,-39.395589,-0.549111,0.255965,0.022407,26142.205552,461,-39.618071,0.309014,4.0,baseline
Strategy0 / Baseline,NES,SOLUSDT,crypto,15min,train,-23.327222,-47.597769,-47.597769,-15.362062,73.818405,-0.563077,-1.484258,-1.484258,-2.827935,-51.661919,-0.297358,0.301158,0.004461,24270.547378,1554,-30.629195,0.295212,4.0,optimized
Strategy0 / Baseline,NES,SOLUSDT,crypto,15min,validation,39.200488,22.779537,22.779537,28.145429,97.323824,4.103194,2.561878,2.561878,6.162481,-19.856773,1.417422,0.335347,0.014075,16420.951089,331,68.820352,0.304694,4.0,optimized
Strategy0 / Baseline,NES,AAPL,equities,15min,train,50.602531,31.184644,31.184644,7.267753,49.590048,3.391129,2.22553,2.22553,4.420541,-11.495833,0.632208,0.336645,0.07666,19417.886954,906,34.420137,0.330359,1.0,baseline
Strategy0 / Baseline,NES,AAPL,equities,15min,validation,3.264022,1.751752,1.751752,2.202496,34.591761,1.826586,1.059445,1.059445,2.098667,-7.320845,0.300853,0.33871,0.028288,1512.270569,186,9.41802,0.30752,1.0,baseline
Strategy0 / Baseline,NES,AAPL,equities,15min,train,52.229552,32.937584,32.937584,7.641552,91.828061,3.16985,2.219781,2.219781,3.801039,-26.630047,0.286952,0.364583,0.076163,19291.968429,576,57.183305,0.318516,1.0,optimized
Strategy0 / Baseline,NES,AAPL,equities,15min,validation,10.953776,9.88946,9.88946,12.558095,44.798992,7.472406,6.762756,6.762756,12.618879,-5.089898,2.467259,0.40566,0.019909,1064.316392,106,93.29679,0.290685,1.0,optimized
Strategy0 / Baseline,NES,AMZN,equities,15min,train,102.437091,66.694815,66.694815,14.096833,85.27679,3.541783,2.527359,2.527359,5.237518,-29.066227,0.48499,0.338346,0.141107,35742.27671,931,71.637825,0.344651,1.0,baseline
Strategy0 / Baseline,NES,AMZN,equities,15min,validation,-6.4922,-8.389051,-8.389051,-10.275927,42.306833,-2.505969,-3.294863,-3.294863,-5.313581,-13.18116,-0.779592,0.293814,0.035482,1896.851009,194,-43.24253,0.318743,1.0,baseline
Strategy0 / Baseline,NES,AMZN,equities,15min,train,111.065877,64.903104,64.903104,13.831367,183.356675,3.212189,2.351165,2.351165,4.312814,-61.808186,0.223779,0.368249,0.182245,46162.77242,611,106.224393,0.331307,1.0,optimized
Strategy0 / Baseline,NES,AMZN,equities,15min,validation,7.714266,2.620417,2.620417,3.208441,172.594999,1.894036,1.197718,1.197718,2.297259,-18.174095,0.176539,0.315789,0.095283,5093.848987,133,19.70238,0.311074,1.0,optimized
Strategy0 / Baseline,NES,GOOGL,equities,15min,train,-9.383237,-38.954702,-38.954702,-11.969101,105.283707,0.053507,-1.126856,-1.126856,-1.953581,-57.391838,-0.208551,0.32334,0.116745,29571.465489,934,-41.70739,0.32957,1.0,baseline
Strategy0 / Baseline,NES,GOOGL,equities,15min,validation,-6.505323,-8.587116,-8.587116,-10.448289,40.6744,-2.961158,-3.962133,-3.962133,-5.952642,-12.458086,-0.838675,0.344828,0.038941,2081.793004,174,-49.35124,0.295548,1.0,baseline
Strategy0 / Baseline,NES,GOOGL,equities,15min,train,-0.883824,-30.373724,-30.373724,-8.920016,60.170591,0.213295,-1.162851,-1.162851,-2.049798,-41.570355,-0.214576,0.286138,0.116423,29489.899756,1349,-22.515733,0.347414,1.0,optimized
Strategy0 / Baseline,NES,GOOGL,equities,15min,validation,0.360578,-1.956725,-1.956725,-2.399609,23.747447,0.307054,-0.909999,-0.909999,-1.388817,-6.613419,-0.362839,0.301887,0.043346,2317.302829,265,-7.383868,0.322297,1.0,optimized
Strategy0 / Baseline,NES,META,equities,15min,train,-32.367456,-52.704387,-52.704387,-17.571412,108.852072,-0.949109,-1.791175,-1.791175,-3.456213,-58.185082,-0.301992,0.313525,0.080288,20336.931072,976,-54.000396,0.331741,1.0,baseline
Strategy0 / Baseline,NES,META,equities,15min,validation,5.47313,3.989239,3.989239,4.995696,29.938417,3.538687,2.618265,2.618265,5.07566,-8.797536,0.567852,0.373563,0.027757,1483.891179,174,22.92666,0.292181,1.0,baseline
Strategy0 / Baseline,NES,META,equities,15min,train,0.477809,-5.944383,-5.944383,-1.57049,23.385732,0.178757,-0.717199,-0.717199,-1.408578,-11.090596,-0.141606,0.338506,0.025354,6422.192549,1031,-5.765648,0.339558,1.0,optimized
Strategy0 / Baseline,NES,META,equities,15min,validation,10.298718,8.28815,8.28815,10.39808,32.817286,5.297043,4.294898,4.294898,8.197027,-7.488495,1.388541,0.388601,0.037609,2010.567517,193,42.943785,0.321549,1.0,optimized
Strategy0 / Baseline,NES,MSFT,equities,15min,train,-17.510155,-45.550505,-45.550505,-14.521905,104.170665,-0.339043,-1.51142,-1.51142,-2.497646,-51.643169,-0.281197,0.318134,0.1107,28040.350823,943,-48.303823,0.328741,1.0,baseline
Strategy0 / Baseline,NES,MSFT,equities,15min,validation,1.961822,-0.525836,-0.525836,-0.652854,32.905131,1.172829,-0.103478,-0.103478,-0.168081,-9.192948,-0.071017,0.379487,0.046533,2487.657609,195,-2.696593,0.317434,1.0,baseline
Strategy0 / Baseline,NES,MSFT,equities,15min,train,48.229728,16.983397,16.983397,4.152835,124.525122,2.447908,1.305722,1.305722,2.111644,-34.420846,0.120649,0.372712,0.123357,31246.33185,601,28.258563,0.315476,1.0,optimized
Strategy0 / Baseline,NES,MSFT,equities,15min,validation,2.882569,0.282747,0.282747,0.34764,53.192461,1.583146,0.397041,0.397041,0.646372,-9.585637,0.036267,0.392593,0.048631,2599.821463,135,2.094425,0.300973,1.0,optimized
Strategy0 / Baseline,NES,NVDA,equities,15min,train,90.07481,75.3029,75.3029,15.591479,58.591624,4.25005,3.620361,3.620361,7.337087,-19.535541,0.798108,0.340403,0.058318,14771.909386,943,79.854613,0.344769,1.0,baseline
Strategy0 / Baseline,NES,NVDA,equities,15min,validation,12.117583,10.713288,10.713288,13.233353,41.051196,4.834871,4.296124,4.296124,9.475586,-5.551593,2.383704,0.336683,0.026268,1404.295281,199,53.835618,0.329405,1.0,baseline
Strategy0 / Baseline,NES,NVDA,equities,15min,train,144.53292,118.23391,118.23391,22.385641,154.228074,4.090677,3.553812,3.553812,5.805416,-32.95416,0.679296,0.364094,0.103826,26299.009648,596,198.379044,0.320884,1.0,optimized
Strategy0 / Baseline,NES,NVDA,equities,15min,validation,31.241005,29.107847,29.107847,36.609213,110.420984,7.130857,6.677625,6.677625,14.806856,-9.216811,3.972004,0.403226,0.039902,2133.15756,124,234.740704,0.327348,1.0,optimized
Strategy0 / Baseline,NES,TSLA,equities,15min,train,416.911445,374.203614,374.203614,49.446216,97.397492,6.868454,6.344586,6.344586,14.186247,-18.479266,2.675767,0.359462,0.168606,42707.830962,893,419.041002,0.326056,1.0,baseline
Strategy0 / Baseline,NES,TSLA,equities,15min,validation,8.912109,7.83957,7.83957,9.653913,42.266464,3.628925,3.218465,3.218465,5.685265,-6.46455,1.493362,0.348718,0.020062,1072.538469,195,40.202924,0.345866,1.0,baseline
Strategy0 / Baseline,NES,TSLA,equities,15min,train,619.782231,539.506947,539.506947,61.65685,197.137506,6.552641,6.03232,6.03232,12.337589,-37.562141,1.641463,0.389803,0.316918,80275.28338,608,887.346953,0.315041,1.0,optimized
