strategy,optimizer,asset,asset_class,frequency,selected_by,params_json,train_gross_sharpe,train_net_sharpe,validation_net_sharpe,train_sharpe,validation_sharpe,train_gross_return,train_net_return,validation_net_return,train_return,validation_return,train_max_drawdown,validation_max_drawdown,train_trade_count,validation_trade_count,train_total_cost,validation_total_cost,train_turnover,validation_turnover,cost_bps
Strategy0 / Baseline,NES,GLD,commodities,15min,validation_net_sharpe,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",1.867492,-0.797606,-1.071295,-0.797606,-1.071295,18.898971,-14.209569,-4.984734,-14.209569,-4.984734,-39.358088,-19.776809,556,137,33108.539714,8149.752165,0.087139,0.101631,1.5
Strategy0 / Baseline,NES,USO,commodities,15min,validation_net_sharpe,"{""entry_interval"": 42, ""lookback"": 10, ""vol_target"": 0.035803}",-1.029685,-1.974404,-13.700028,-1.974404,-13.700028,-34.815688,-56.110504,-62.029978,-56.110504,-62.029978,-74.024856,-65.927961,620,142,21294.815866,6102.557828,0.056046,0.076101,1.5
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",1.827863,0.459675,2.560314,0.459675,2.560314,110.450368,-53.666059,36.399599,-53.666059,36.399599,-76.770197,-40.615435,1505,319,164116.427023,65770.648142,0.030164,0.056374,4.0
Strategy0 / Baseline,NES,ETHUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 60, ""lookback"": 6, ""vol_target"": 0.047515}",-0.059538,-1.192858,2.633238,-1.192858,2.633238,-35.869622,-96.232823,43.483111,-96.232823,43.483111,-96.366294,-54.096271,1608,308,60363.200862,48696.019858,0.011094,0.041739,4.0
Strategy0 / Baseline,NES,AAPL,equities,15min,validation_net_sharpe,"{""entry_interval"": 37, ""lookback"": 15, ""vol_target"": 0.011576}",4.443238,3.525919,5.699668,3.525919,5.699668,31.085239,24.189335,4.249102,24.189335,4.249102,-10.353313,-2.669009,566,116,6895.90466,566.723467,0.027224,0.010601,1.0
Strategy0 / Baseline,NES,MSFT,equities,15min,validation_net_sharpe,"{""entry_interval"": 53, ""lookback"": 9, ""vol_target"": 0.043091}",2.447908,1.305722,0.396919,1.305722,0.396919,48.229728,16.983397,-0.678745,16.983397,-0.678745,-34.420846,-19.16953,601,135,31246.33185,5388.89251,0.123357,0.100802,1.0
Strategy0 / Baseline,NES,NVDA,equities,15min,validation_net_sharpe,"{""entry_interval"": 17, ""lookback"": 26, ""vol_target"": 0.011909}",4.125163,3.605721,5.890537,3.605721,5.890537,34.514171,29.87021,7.359381,29.87021,7.359381,-8.507233,-3.067538,595,122,4643.960859,591.782045,0.018334,0.01107,1.0
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,validation_net_sharpe,"{""entry_interval"": 23, ""exit_interval"": 1, ""lookback"": 13, ""vol_target"": 0.028424}",2.572937,-0.916571,-0.138703,-0.916571,-0.138703,26.710651,-13.538452,-0.906976,-13.538452,-0.906976,-27.937045,-11.671163,711,174,40249.102959,7591.771859,0.105933,0.094672,1.5
Strategy1 / Asymmetric Intervals,NES,USO,commodities,15min,validation_net_sharpe,"{""entry_interval"": 31, ""exit_interval"": 3, ""lookback"": 5, ""vol_target"": 0.009452}",0.32482,-1.259644,-13.973055,-1.259644,-13.973055,0.919319,-19.293965,-28.870837,-19.293965,-28.870837,-34.78527,-31.860722,812,178,20213.283434,3422.779153,0.0532,0.042683,1.5
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 47, ""exit_interval"": 10, ""lookback"": 5, ""vol_target"": 0.011702}",2.922566,0.783928,2.906175,0.783928,2.906175,136.668915,18.59244,38.428362,18.59244,38.428362,-34.301786,-26.426144,1763,357,118076.475109,53598.837126,0.021702,0.045941,4.0
Strategy1 / Asymmetric Intervals,NES,ETHUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 21, ""exit_interval"": 5, ""lookback"": 5, ""vol_target"": 0.007467}",0.625038,-1.292955,0.832573,-1.292955,0.832573,11.650413,-42.971287,4.40974,-42.971287,4.40974,-48.635804,-27.58214,2001,397,54621.700586,19797.911813,0.010039,0.016969,4.0
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,validation_net_sharpe,"{""entry_interval"": 37, ""exit_interval"": 10, ""lookback"": 15, ""vol_target"": 0.011576}",4.835407,3.739846,6.495982,3.739846,6.495982,34.525031,26.259864,5.694289,26.259864,5.694289,-5.823834,-1.852757,702,133,8265.16668,655.220688,0.03263,0.012256,1.0
Strategy1 / Asymmetric Intervals,NES,MSFT,equities,15min,validation_net_sharpe,"{""entry_interval"": 44, ""exit_interval"": 30, ""lookback"": 30, ""vol_target"": 0.020914}",1.769002,0.398118,-1.678688,0.398118,-1.678688,29.671226,-2.002411,-3.546283,-2.002411,-3.546283,-31.04698,-12.496679,723,156,31673.637852,2534.173715,0.125044,0.047403,1.0
Strategy1 / Asymmetric Intervals,NES,NVDA,equities,15min,validation_net_sharpe,"{""entry_interval"": 28, ""exit_interval"": 22, ""lookback"": 30, ""vol_target"": 0.041143}",4.953344,4.443581,5.453343,4.443581,5.453343,202.645821,174.690578,26.465434,174.690578,26.465434,-26.530959,-10.885688,580,129,27955.242696,2453.260684,0.110364,0.04589,1.0
Strategy2 / EMA Filter,NES,GLD,commodities,15min,validation_net_sharpe,"{""ema_period"": 44, ""entry_interval"": 20, ""lookback"": 5, ""vol_target"": 0.010646}",3.279387,0.699614,-0.835509,0.699614,-0.835509,27.925475,3.763319,-1.106829,3.763319,-1.106829,-24.357,-6.54488,511,129,24162.155905,2625.390646,0.063593,0.03274,1.5
Strategy2 / EMA Filter,NES,USO,commodities,15min,validation_net_sharpe,"{""ema_period"": 144, ""entry_interval"": 30, ""lookback"": 30, ""vol_target"": 0.043298}",-0.496838,-2.023966,-9.885804,-2.023966,-9.885804,-24.267907,-55.751352,-40.28653,-55.751352,-40.28653,-68.252299,-46.093693,720,166,31483.444234,7180.731564,0.082862,0.089546,1.5
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""ema_period"": 123, ""entry_interval"": 57, ""lookback"": 5, ""vol_target"": 0.013857}",2.466343,0.620028,2.665059,0.620028,2.665059,114.544023,3.959619,35.046236,3.959619,35.046236,-44.35149,-34.486521,1451,308,110584.404791,54113.398898,0.020325,0.046382,4.0
