strategy,optimizer,asset,asset_class,frequency,split,gross_total_return,net_total_return,total_return,annualized_return,annualized_volatility,gross_sharpe,net_sharpe,sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,cost_bps,config_source
Strategy0 / Baseline,NES,GLD,commodities,15min,train,18.898971,-14.209569,-14.209569,-3.889674,76.605946,1.867492,-0.797606,-0.797606,-1.31327,-39.358088,-0.098828,0.338129,0.087139,33108.539714,556,-25.556778,0.280063,1.5,optimized
Strategy0 / Baseline,NES,GLD,commodities,15min,validation,3.165018,-4.984734,-4.984734,-6.050441,82.464933,1.337697,-1.071295,-1.071295,-1.75236,-19.776809,-0.305936,0.313869,0.101631,8149.752165,137,-36.384923,0.317247,1.5,optimized
Strategy0 / Baseline,NES,USO,commodities,15min,train,-34.815688,-56.110504,-56.110504,-19.14884,157.910025,-1.029685,-1.974404,-1.974404,-3.119772,-74.024856,-0.258681,0.351613,0.056046,21294.815866,620,-90.500813,0.296407,1.5,optimized
Strategy0 / Baseline,NES,USO,commodities,15min,validation,-55.92742,-62.029978,-62.029978,-69.581231,154.517431,-12.368265,-13.700028,-13.700028,-17.328732,-65.927961,-1.055413,0.253521,0.076101,6102.557828,142,-436.830831,0.305836,1.5,optimized
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,train,110.450368,-53.666059,-53.666059,-18.00451,248.06232,1.827863,0.459675,0.459675,1.05668,-76.770197,-0.234525,0.293023,0.030164,164116.427023,1505,-35.658511,0.306879,4.0,optimized
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,validation,102.170247,36.399599,36.399599,46.072756,193.178085,5.300256,2.560314,2.560314,5.798711,-40.615435,1.134366,0.354232,0.056374,65770.648142,319,114.105327,0.33267,4.0,optimized
Strategy0 / Baseline,NES,ETHUSDT,crypto,15min,train,-35.869622,-96.232823,-96.232823,-57.088168,271.319865,-0.059538,-1.192858,-1.192858,-2.362043,-96.366294,-0.592408,0.283582,0.011094,60363.200862,1608,-59.846283,0.309974,4.0,optimized
Strategy0 / Baseline,NES,ETHUSDT,crypto,15min,validation,92.179131,43.483111,43.483111,54.706996,292.587815,4.114589,2.633238,2.633238,7.359075,-54.096271,1.01129,0.275974,0.041739,48696.019858,308,141.178933,0.289231,4.0,optimized
Strategy0 / Baseline,NES,AAPL,equities,15min,train,31.085239,24.189335,24.189335,5.763341,37.598153,4.443238,3.525919,3.525919,6.127534,-10.353313,0.556666,0.386926,0.027224,6895.90466,566,42.73734,0.31591,1.0,optimized
Strategy0 / Baseline,NES,AAPL,equities,15min,validation,4.815826,4.249102,4.249102,5.359529,21.109922,6.446915,5.699668,5.699668,10.898746,-2.669009,2.00806,0.37931,0.010601,566.723467,116,36.630191,0.28844,1.0,optimized
Strategy0 / Baseline,NES,MSFT,equities,15min,train,48.229728,16.983397,16.983397,4.152835,124.525122,2.447908,1.305722,1.305722,2.111644,-34.420846,0.120649,0.372712,0.123357,31246.33185,601,28.258563,0.315476,1.0,optimized
Strategy0 / Baseline,NES,MSFT,equities,15min,validation,4.710148,-0.678745,-0.678745,-0.833601,110.308509,1.5781,0.396919,0.396919,0.646173,-19.16953,-0.043486,0.392593,0.100802,5388.89251,135,-5.02774,0.300973,1.0,optimized
Strategy0 / Baseline,NES,NVDA,equities,15min,train,34.514171,29.87021,29.87021,6.999586,42.445377,4.125163,3.605721,3.605721,5.904388,-8.507233,0.822781,0.364706,0.018334,4643.960859,595,50.202034,0.320213,1.0,optimized
Strategy0 / Baseline,NES,NVDA,equities,15min,validation,7.951163,7.359381,7.359381,9.058001,33.458926,6.351024,5.890537,5.890537,12.7707,-3.067538,2.952857,0.393443,0.01107,591.782045,122,60.322792,0.326225,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,train,26.710651,-13.538452,-13.538452,-3.695667,56.068611,2.572937,-0.916571,-0.916571,-1.786239,-27.937045,-0.132286,0.250352,0.105933,40249.102959,711,-19.041423,0.228701,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,validation,6.684796,-0.906976,-0.906976,-1.105939,45.872557,3.010104,-0.138703,-0.138703,-0.254921,-11.671163,-0.094758,0.275862,0.094672,7591.771859,174,-5.212503,0.265058,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,USO,commodities,15min,train,0.919319,-19.293965,-19.293965,-5.382763,56.244609,0.32482,-1.259644,-1.259644,-2.357228,-34.78527,-0.154743,0.293103,0.0532,20213.283434,812,-23.76104,0.245006,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,USO,commodities,15min,validation,-25.448058,-28.870837,-28.870837,-34.208509,44.257394,-12.318757,-13.973055,-13.973055,-16.493159,-31.860722,-1.073689,0.235955,0.042683,3422.779153,178,-162.195712,0.251964,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,train,136.668915,18.59244,18.59244,4.498336,82.340016,2.922566,0.783928,0.783928,1.985765,-34.301786,0.13114,0.251843,0.021702,118076.475109,1763,10.54591,0.285691,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,validation,92.027199,38.428362,38.428362,48.733389,130.774481,5.884527,2.906175,2.906175,7.719424,-26.426144,1.844135,0.330532,0.045941,53598.837126,357,107.64247,0.316419,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,ETHUSDT,crypto,15min,train,11.650413,-42.971287,-42.971287,-13.490036,58.29708,0.625038,-1.292955,-1.292955,-3.04778,-48.635804,-0.277368,0.232884,0.010039,54621.700586,2001,-21.474906,0.284713,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,ETHUSDT,crypto,15min,validation,24.207652,4.40974,4.40974,5.353481,78.904539,2.862496,0.832573,0.832573,2.476338,-27.58214,0.194092,0.221662,0.016969,19797.911813,397,11.107657,0.264134,4.0,optimized
