strategy,optimizer,asset,asset_class,frequency,iteration,candidate_id,params_json,train_net_sharpe,train_gross_sharpe,train_sharpe,train_net_return,train_return,train_volatility,train_max_drawdown,train_trade_count,train_total_cost,train_turnover,cost_bps,valid
Strategy0 / Baseline,NES,GLD,commodities,15min,0,1,"{""entry_interval"": 37, ""lookback"": 15, ""vol_target"": 0.011576}",-3.018686,-0.42595,-3.018686,-17.150869,-17.150869,36.221304,-20.48908,532,13958.266216,0.036737,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,2,"{""entry_interval"": 18, ""lookback"": 18, ""vol_target"": 0.005}",-3.015064,-0.416067,-3.015064,-7.708924,-7.708924,15.935526,-9.387329,533,6479.825371,0.017054,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,3,"{""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",-2.140157,0.487033,-2.140157,-26.507727,-26.507727,74.804383,-32.903754,537,28279.164258,0.074429,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,0,4,"{""entry_interval"": 42, ""lookback"": 10, ""vol_target"": 0.035803}",-1.112458,1.459744,-1.112458,-16.862865,-16.862865,75.690061,-32.149714,537,29845.51807,0.078551,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,5,"{""entry_interval"": 60, ""lookback"": 6, ""vol_target"": 0.047515}",0.10369,2.829615,0.10369,-3.059951,-3.059951,72.219313,-25.187309,553,33723.417628,0.088758,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,6,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,7,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",-0.797606,1.867492,-0.797606,-14.209569,-14.209569,76.605946,-39.358088,556,33108.539714,0.087139,1.5,True
Strategy0 / Baseline,NES,GLD,commodities,15min,1,8,"{""entry_interval"": 53, ""lookback"": 9, ""vol_target"": 0.043091}",-0.525752,2.165312,-0.525752,-10.66885,-10.66885,75.447548,-29.249109,544,32895.748478,0.086579,1.5,True
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,0,1,"{""entry_interval"": 37, ""lookback"": 15, ""vol_target"": 0.011576}",0.111223,1.997099,0.111223,-27.192522,-27.192522,134.991552,-50.06434,1457,118775.623901,0.02183,4.0,True
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,0,2,"{""entry_interval"": 18, ""lookback"": 18, ""vol_target"": 0.005}",-0.231339,1.802498,-0.231339,-13.290619,-13.290619,61.871373,-28.459063,1415,54350.348353,0.009989,4.0,True
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,0,3,"{""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",-0.090381,1.398151,-0.090381,-74.339719,-74.339719,248.22904,-81.862304,1469,132970.796531,0.024439,4.0,True
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,0,4,"{""entry_interval"": 42, ""lookback"": 10, ""vol_target"": 0.035803}",0.119858,1.589086,0.119858,-69.146934,-69.146934,252.856903,-78.59322,1472,148829.352651,0.027354,4.0,True
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,1,5,"{""entry_interval"": 60, ""lookback"": 6, ""vol_target"": 0.047515}",0.751156,2.378036,0.751156,-35.50563,-35.50563,248.279424,-76.957756,1509,252138.867638,0.046342,4.0,True
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,1,6,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",0.459675,1.827863,0.459675,-53.666059,-53.666059,248.06232,-76.770197,1505,164116.427023,0.030164,4.0,True
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,1,7,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",0.459675,1.827863,0.459675,-53.666059,-53.666059,248.06232,-76.770197,1505,164116.427023,0.030164,4.0,True
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,1,8,"{""entry_interval"": 53, ""lookback"": 9, ""vol_target"": 0.043091}",0.352183,1.801664,0.352183,-59.059263,-59.059263,249.658419,-73.399643,1488,165823.043724,0.030477,4.0,True
Strategy0 / Baseline,NES,AAPL,equities,15min,0,1,"{""entry_interval"": 37, ""lookback"": 15, ""vol_target"": 0.011576}",3.525919,4.443238,3.525919,24.189335,24.189335,37.598153,-10.353313,566,6895.90466,0.027224,1.0,True
Strategy0 / Baseline,NES,AAPL,equities,15min,0,2,"{""entry_interval"": 18, ""lookback"": 18, ""vol_target"": 0.005}",2.712031,3.592726,2.712031,8.331083,8.331083,17.673031,-5.201524,566,2833.699306,0.011187,1.0,True
Strategy0 / Baseline,NES,AAPL,equities,15min,0,3,"{""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",3.621291,4.568465,3.621291,64.154966,64.154966,88.689832,-22.870868,576,21242.005641,0.083861,1.0,True
Strategy0 / Baseline,NES,AAPL,equities,15min,0,4,"{""entry_interval"": 42, ""lookback"": 10, ""vol_target"": 0.035803}",3.507478,4.514351,3.507478,106.699475,106.699475,147.601693,-35.459367,580,47188.221766,0.186294,1.0,True
Strategy0 / Baseline,NES,AAPL,equities,15min,1,5,"{""entry_interval"": 60, ""lookback"": 6, ""vol_target"": 0.047515}",3.312346,4.365633,3.312346,95.914276,95.914276,140.447785,-40.416438,599,45969.033057,0.181481,1.0,True
Strategy0 / Baseline,NES,AAPL,equities,15min,1,6,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",3.20611,4.206479,3.20611,91.761766,91.761766,140.209723,-41.086017,605,42546.678248,0.16797,1.0,True
Strategy0 / Baseline,NES,AAPL,equities,15min,1,7,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",3.20611,4.206479,3.20611,91.761766,91.761766,140.209723,-41.086017,605,42546.678248,0.16797,1.0,True
Strategy0 / Baseline,NES,AAPL,equities,15min,1,8,"{""entry_interval"": 53, ""lookback"": 9, ""vol_target"": 0.043091}",3.433309,4.437452,3.433309,104.499139,104.499139,148.668128,-41.723348,584,47368.045581,0.187004,1.0,True
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,0,1,"{""entry_interval"": 37, ""exit_interval"": 10, ""lookback"": 15, ""vol_target"": 0.011576}",-0.812841,2.300942,-0.812841,-5.475303,-5.475303,29.840608,-15.819249,642,17779.805451,0.046795,1.5,True
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,0,2,"{""entry_interval"": 31, ""exit_interval"": 3, ""lookback"": 5, ""vol_target"": 0.009452}",-1.345879,2.356246,-1.345879,-12.01969,-12.01969,36.238106,-21.639082,758,29377.077505,0.077318,1.5,True
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,0,3,"{""entry_interval"": 23, ""exit_interval"": 1, ""lookback"": 13, ""vol_target"": 0.028424}",-0.916571,2.572937,-0.916571,-13.538452,-13.538452,56.068611,-27.937045,711,40249.102959,0.105933,1.5,True
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,0,4,"{""entry_interval"": 29, ""exit_interval"": 7, ""lookback"": 23, ""vol_target"": 0.030548}",-2.571919,0.146804,-2.571919,-30.368537,-30.368537,74.760947,-36.14454,539,28524.931752,0.075075,1.5,True
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,1,5,"{""entry_interval"": 43, ""exit_interval"": 5, ""lookback"": 5, ""vol_target"": 0.005}",-1.345541,2.314827,-1.345541,-6.19818,-6.19818,19.171342,-11.900109,758,15760.638652,0.041481,1.5,True
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,1,6,"{""entry_interval"": 39, ""exit_interval"": 1, ""lookback"": 5, ""vol_target"": 0.013857}",-1.346213,2.387962,-1.346213,-17.960889,-17.960889,53.121544,-30.493441,758,42380.06598,0.111541,1.5,True
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,1,7,"{""entry_interval"": 27, ""exit_interval"": 1, ""lookback"": 5, ""vol_target"": 0.011702}",-1.346049,2.373473,-1.346049,-15.037684,-15.037684,44.862274,-26.257781,758,36081.57329,0.094964,1.5,True
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,1,8,"{""entry_interval"": 31, ""exit_interval"": 6, ""lookback"": 5, ""vol_target"": 0.005}",-1.377167,1.858459,-1.377167,-6.455697,-6.455697,21.514206,-11.559078,684,14092.678203,0.037091,1.5,True
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,0,1,"{""entry_interval"": 37, ""exit_interval"": 10, ""lookback"": 15, ""vol_target"": 0.011576}",0.711649,2.805512,0.711649,8.419556,8.419556,122.56754,-45.900963,1633,168749.218117,0.031015,4.0,True
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,0,2,"{""entry_interval"": 31, ""exit_interval"": 3, ""lookback"": 5, ""vol_target"": 0.009452}",0.681999,3.058625,0.681999,15.002599,15.002599,61.707421,-23.892381,1947,104584.530126,0.019222,4.0,True
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,0,3,"{""entry_interval"": 23, ""exit_interval"": 1, ""lookback"": 13, ""vol_target"": 0.028424}",0.045908,1.917625,0.045908,-65.344256,-65.344256,211.7808,-80.017731,1795,198854.930554,0.036549,4.0,True
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,0,4,"{""entry_interval"": 29, ""exit_interval"": 7, ""lookback"": 23, ""vol_target"": 0.030548}",-0.127397,1.435591,-0.127397,-74.551416,-74.551416,249.052753,-80.941448,1421,134481.634669,0.024717,4.0,True
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,1,5,"{""entry_interval"": 60, ""exit_interval"": 18, ""lookback"": 5, ""vol_target"": 0.005}",0.461088,2.490728,0.461088,4.986711,4.986711,40.713314,-17.386991,1505,40799.976557,0.007499,4.0,True
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,1,6,"{""entry_interval"": 59, ""exit_interval"": 9, ""lookback"": 5, ""vol_target"": 0.013857}",0.471357,2.425675,0.471357,-1.03488,-1.03488,102.560182,-42.389515,1735,121518.209925,0.022334,4.0,True
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,1,7,"{""entry_interval"": 47, ""exit_interval"": 10, ""lookback"": 5, ""vol_target"": 0.011702}",0.783928,2.922566,0.783928,18.59244,18.59244,82.340016,-34.301786,1763,118076.475109,0.021702,4.0,True
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,1,8,"{""entry_interval"": 51, ""exit_interval"": 18, ""lookback"": 5, ""vol_target"": 0.005}",0.461088,2.490728,0.461088,4.986711,4.986711,40.713314,-17.386991,1505,40799.976557,0.007499,4.0,True
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,0,1,"{""entry_interval"": 37, ""exit_interval"": 10, ""lookback"": 15, ""vol_target"": 0.011576}",3.739846,4.835407,3.739846,26.259864,26.259864,30.345505,-5.823834,702,8265.16668,0.03263,1.0,True
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,0,2,"{""entry_interval"": 31, ""exit_interval"": 3, ""lookback"": 5, ""vol_target"": 0.009452}",1.876139,3.155032,1.876139,20.06878,20.06878,43.180994,-10.154185,835,15950.109579,0.062969,1.0,True
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,0,3,"{""entry_interval"": 23, ""exit_interval"": 1, ""lookback"": 13, ""vol_target"": 0.028424}",1.973088,3.234894,1.973088,30.000088,30.000088,64.200664,-17.849048,808,24321.60462,0.096019,1.0,True
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,0,4,"{""entry_interval"": 29, ""exit_interval"": 7, ""lookback"": 23, ""vol_target"": 0.030548}",2.219748,3.183879,2.219748,40.964846,40.964846,120.156668,-33.75193,576,27350.608514,0.107977,1.0,True
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,1,5,"{""entry_interval"": 60, ""exit_interval"": 30, ""lookback"": 26, ""vol_target"": 0.005}",2.592097,3.666621,2.592097,9.126188,9.126188,16.318395,-3.156241,699,3955.256353,0.015615,1.0,True
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,1,6,"{""entry_interval"": 60, ""exit_interval"": 21, ""lookback"": 27, ""vol_target"": 0.013857}",2.871503,3.782762,2.871503,29.02608,29.02608,56.388243,-15.058218,572,10745.017499,0.04242,1.0,True
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,1,7,"{""entry_interval"": 48, ""exit_interval"": 22, ""lookback"": 26, ""vol_target"": 0.011702}",2.748019,3.667379,2.748019,22.844792,22.844792,46.200672,-11.245452,580,8683.543804,0.034282,1.0,True
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,1,8,"{""entry_interval"": 52, ""exit_interval"": 30, ""lookback"": 26, ""vol_target"": 0.005}",2.592097,3.666621,2.592097,9.126188,9.126188,16.318395,-3.156241,699,3955.256353,0.015615,1.0,True
Strategy2 / EMA Filter,NES,GLD,commodities,15min,0,1,"{""ema_period"": 130, ""entry_interval"": 37, ""lookback"": 15, ""vol_target"": 0.011576}",-2.174077,0.354579,-2.174077,-11.149788,-11.149788,36.678473,-14.846252,448,12015.613352,0.031624,1.5,True
Strategy2 / EMA Filter,NES,GLD,commodities,15min,0,2,"{""ema_period"": 90, ""entry_interval"": 31, ""lookback"": 5, ""vol_target"": 0.009452}",0.049367,2.591126,0.049367,-1.5623,-1.5623,51.490429,-23.122076,480,19296.990645,0.050788,1.5,True
Strategy2 / EMA Filter,NES,GLD,commodities,15min,0,3,"{""ema_period"": 70, ""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",-0.703023,1.858145,-0.703023,-11.257878,-11.257878,74.619879,-25.363922,488,27439.734645,0.072219,1.5,True
Strategy2 / EMA Filter,NES,GLD,commodities,15min,0,4,"{""ema_period"": 110, ""entry_interval"": 29, ""lookback"": 23, ""vol_target"": 0.030548}",-1.245488,1.423718,-1.245488,-15.861493,-15.861493,75.045208,-22.979853,466,26785.004725,0.070496,1.5,True
Strategy2 / EMA Filter,NES,GLD,commodities,15min,1,5,"{""ema_period"": 44, ""entry_interval"": 20, ""lookback"": 5, ""vol_target"": 0.010646}",0.699614,3.279387,0.699614,3.763319,3.763319,57.684968,-24.357,511,24162.155905,0.063593,1.5,True
Strategy2 / EMA Filter,NES,GLD,commodities,15min,1,6,"{""ema_period"": 20, ""entry_interval"": 16, ""lookback"": 5, ""vol_target"": 0.026205}",0.581987,3.197084,0.581987,2.454225,2.454225,76.770298,-31.657407,519,33334.260914,0.087733,1.5,True
Strategy2 / EMA Filter,NES,GLD,commodities,15min,1,7,"{""ema_period"": 20, ""entry_interval"": 10, ""lookback"": 5, ""vol_target"": 0.024051}",-2.721841,0.314987,-2.721841,-37.381235,-37.381235,62.088962,-42.245001,815,38229.861923,0.100618,1.5,True
Strategy2 / EMA Filter,NES,GLD,commodities,15min,1,8,"{""ema_period"": 47, ""entry_interval"": 10, ""lookback"": 5, ""vol_target"": 0.008492}",-2.530591,0.535235,-2.530591,-21.77568,-21.77568,37.342851,-26.532335,793,24763.533328,0.065176,1.5,True
