strategy,optimizer,asset,asset_class,frequency,split,gross_total_return,net_total_return,total_return,annualized_return,annualized_volatility,gross_sharpe,net_sharpe,sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,cost_bps,config_source
Strategy0 / Baseline,NES,GLD,commodities,15min,train,19.183248,-23.319146,-23.319146,-6.642292,61.256727,1.620109,-1.374401,-1.374401,-2.512813,-34.37569,-0.193226,0.277778,0.111863,42502.393795,846,-27.564003,0.285274,1.5,baseline
Strategy0 / Baseline,NES,GLD,commodities,15min,validation,2.515525,-3.981129,-3.981129,-4.83745,32.481665,1.405105,-1.795788,-1.795788,-3.032535,-11.55146,-0.418774,0.296651,0.081016,6496.653806,209,-19.048463,0.331463,1.5,baseline
Strategy0 / Baseline,NES,GLD,commodities,15min,train,1.771437,-26.507727,-26.507727,-7.663064,74.804383,0.487033,-2.140157,-2.140157,-3.467144,-32.903754,-0.232893,0.312849,0.074429,28279.164258,537,-49.362621,0.270391,1.5,optimized
Strategy0 / Baseline,NES,GLD,commodities,15min,validation,4.038956,-1.971085,-1.971085,-2.400637,66.856133,1.784865,-0.372891,-0.372891,-0.652721,-15.522078,-0.15466,0.326087,0.074948,6010.040977,138,-14.283226,0.313692,1.5,optimized
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,train,82.51151,-75.310749,-75.310749,-30.296903,194.209444,1.471174,-0.294255,-0.294255,-0.779956,-80.134607,-0.378075,0.223394,0.029007,157822.258867,1992,-37.806601,0.286338,4.0,baseline
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,validation,30.314148,-9.490152,-9.490152,-11.458873,103.503786,2.775675,-0.252617,-0.252617,-0.605635,-32.06805,-0.35733,0.273159,0.034118,39804.29973,421,-22.541928,0.312854,4.0,baseline
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,train,110.450368,-53.666059,-53.666059,-18.00451,248.06232,1.827863,0.459675,0.459675,1.05668,-76.770197,-0.234525,0.293023,0.030164,164116.427023,1505,-35.658511,0.306879,4.0,optimized
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,validation,102.170247,36.399599,36.399599,46.072756,193.178085,5.300256,2.560314,2.560314,5.798711,-40.615435,1.134366,0.354232,0.056374,65770.648142,319,114.105327,0.33267,4.0,optimized
Strategy0 / Baseline,NES,AAPL,equities,15min,train,50.602531,31.184644,31.184644,7.267753,49.590048,3.391129,2.22553,2.22553,4.420541,-11.495833,0.632208,0.336645,0.07666,19417.886954,906,34.420137,0.330359,1.0,baseline
Strategy0 / Baseline,NES,AAPL,equities,15min,validation,3.264022,1.751752,1.751752,2.202496,34.591761,1.826586,1.059445,1.059445,2.098667,-7.320845,0.300853,0.33871,0.028288,1512.270569,186,9.41802,0.30752,1.0,baseline
Strategy0 / Baseline,NES,AAPL,equities,15min,train,134.308445,91.761766,91.761766,18.311733,140.209723,4.206479,3.20611,3.20611,5.547918,-41.086017,0.445693,0.386777,0.16797,42546.678248,605,151.672341,0.327359,1.0,optimized
Strategy0 / Baseline,NES,AAPL,equities,15min,validation,40.199037,35.831663,35.831663,46.446684,162.778782,6.805006,6.134488,6.134488,11.139689,-23.025733,2.017164,0.413793,0.081694,4367.373493,116,308.89365,0.301534,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,train,17.248824,-32.807432,-32.807432,-9.780471,53.8489,1.426744,-2.099834,-2.099834,-4.006811,-37.83552,-0.2585,0.238748,0.131744,50056.255377,1022,-32.101205,0.27576,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,validation,4.572766,-3.317336,-3.317336,-4.0339,28.623605,2.300423,-1.404212,-1.404212,-2.684053,-10.762565,-0.374808,0.248996,0.098393,7890.10276,249,-13.322636,0.317621,1.5,baseline
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,train,26.710651,-13.538452,-13.538452,-3.695667,56.068611,2.572937,-0.916571,-0.916571,-1.786239,-27.937045,-0.132286,0.250352,0.105933,40249.102959,711,-19.041423,0.228701,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,validation,6.684796,-0.906976,-0.906976,-1.105939,45.872557,3.010104,-0.138703,-0.138703,-0.254921,-11.671163,-0.094758,0.275862,0.094672,7591.771859,174,-5.212503,0.265058,1.5,optimized
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,train,60.950168,-84.597763,-84.597763,-38.287008,179.575436,1.213398,-0.672985,-0.672985,-1.880591,-84.813501,-0.451426,0.192207,0.026751,145547.931702,2284,-37.039301,0.276891,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,validation,33.453166,-13.025935,-13.025935,-15.662733,94.188297,2.852325,-0.539896,-0.539896,-1.465025,-34.365568,-0.455768,0.230612,0.039839,46479.101528,490,-26.583541,0.305551,4.0,baseline
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,train,136.668915,18.59244,18.59244,4.498336,82.340016,2.922566,0.783928,0.783928,1.985765,-34.301786,0.13114,0.251843,0.021702,118076.475109,1763,10.54591,0.285691,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,validation,92.027199,38.428362,38.428362,48.733389,130.774481,5.884527,2.906175,2.906175,7.719424,-26.426144,1.844135,0.330532,0.045941,53598.837126,357,107.64247,0.316419,4.0,optimized
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,train,39.839662,17.75029,17.75029,4.313774,42.329813,2.732592,1.363182,1.363182,3.03078,-16.555941,0.260557,0.292883,0.087206,22089.371181,1096,16.19552,0.318437,1.0,baseline
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,validation,3.909767,2.01334,2.01334,2.532227,28.816134,2.060361,1.126964,1.126964,3.044214,-7.435892,0.340541,0.281385,0.035474,1896.427257,231,8.715759,0.299102,1.0,baseline
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,train,68.315454,40.964846,40.964846,9.286281,120.156668,3.183879,2.219748,2.219748,3.800983,-33.75193,0.275133,0.364583,0.107977,27350.608514,576,71.119524,0.318516,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,validation,14.379639,12.988666,12.988666,16.554454,58.620618,7.464221,6.762744,6.762744,12.618857,-6.628953,2.497295,0.40566,0.026019,1390.972691,106,122.534586,0.290685,1.0,optimized
Strategy2 / EMA Filter,NES,GLD,commodities,15min,train,6.926671,-28.534691,-28.534691,-8.329386,63.315967,0.836782,-2.076786,-2.076786,-3.690455,-37.561133,-0.221755,0.269601,0.093332,35461.362645,727,-39.249919,0.257837,1.5,baseline
Strategy2 / EMA Filter,NES,GLD,commodities,15min,validation,-0.050627,-5.503955,-5.503955,-6.676263,32.527929,0.126737,-3.114555,-3.114555,-4.789126,-11.20639,-0.595755,0.316092,0.068005,5453.327505,174,-31.631925,0.29349,1.5,baseline
