strategy,optimizer,asset,asset_class,frequency,selected_by,params_json,train_gross_sharpe,train_net_sharpe,validation_net_sharpe,train_sharpe,validation_sharpe,train_gross_return,train_net_return,validation_net_return,train_return,validation_return,train_max_drawdown,validation_max_drawdown,train_trade_count,validation_trade_count,train_total_cost,validation_total_cost,train_turnover,validation_turnover,cost_bps
Strategy0 / Baseline,NES,GLD,commodities,15min,validation_net_sharpe,"{""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",0.487033,-2.140157,-0.372891,-2.140157,-0.372891,1.771437,-26.507727,-1.971085,-26.507727,-1.971085,-32.903754,-15.522078,537,138,28279.164258,6010.040977,0.074429,0.074948,1.5
Strategy0 / Baseline,NES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",1.827863,0.459675,2.560314,0.459675,2.560314,110.450368,-53.666059,36.399599,-53.666059,36.399599,-76.770197,-40.615435,1505,319,164116.427023,65770.648142,0.030164,0.056374,4.0
Strategy0 / Baseline,NES,AAPL,equities,15min,validation_net_sharpe,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",4.206479,3.20611,6.134488,3.20611,6.134488,134.308445,91.761766,35.831663,91.761766,35.831663,-41.086017,-23.025733,605,116,42546.678248,4367.373493,0.16797,0.081694,1.0
Strategy1 / Asymmetric Intervals,NES,GLD,commodities,15min,validation_net_sharpe,"{""entry_interval"": 23, ""exit_interval"": 1, ""lookback"": 13, ""vol_target"": 0.028424}",2.572937,-0.916571,-0.138703,-0.916571,-0.138703,26.710651,-13.538452,-0.906976,-13.538452,-0.906976,-27.937045,-11.671163,711,174,40249.102959,7591.771859,0.105933,0.094672,1.5
Strategy1 / Asymmetric Intervals,NES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 47, ""exit_interval"": 10, ""lookback"": 5, ""vol_target"": 0.011702}",2.922566,0.783928,2.906175,0.783928,2.906175,136.668915,18.59244,38.428362,18.59244,38.428362,-34.301786,-26.426144,1763,357,118076.475109,53598.837126,0.021702,0.045941,4.0
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,validation_net_sharpe,"{""entry_interval"": 29, ""exit_interval"": 7, ""lookback"": 23, ""vol_target"": 0.030548}",3.183879,2.219748,6.762744,2.219748,6.762744,68.315454,40.964846,12.988666,40.964846,12.988666,-33.75193,-6.628953,576,106,27350.608514,1390.972691,0.107977,0.026019,1.0
Strategy2 / EMA Filter,NES,GLD,commodities,15min,validation_net_sharpe,"{""ema_period"": 20, ""entry_interval"": 10, ""lookback"": 5, ""vol_target"": 0.024051}",0.314987,-2.721841,1.552553,-2.721841,1.552553,0.848626,-37.381235,3.844045,-37.381235,3.844045,-42.245001,-8.379186,815,194,38229.861923,8861.481551,0.100618,0.110506,1.5
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""ema_period"": 90, ""entry_interval"": 31, ""lookback"": 5, ""vol_target"": 0.009452}",2.477019,0.5357,2.835313,0.5357,2.835313,82.461354,5.760632,28.846863,5.760632,28.846863,-31.274969,-23.662974,1475,311,76700.722174,35750.517255,0.014097,0.030643,4.0
Strategy2 / EMA Filter,NES,AAPL,equities,15min,validation_net_sharpe,"{""ema_period"": 200, ""entry_interval"": 53, ""lookback"": 22, ""vol_target"": 0.005}",4.582104,3.731791,13.484818,3.731791,13.484818,13.443165,10.858819,2.644881,10.858819,2.644881,-5.365232,-0.387212,462,84,2584.345408,179.000197,0.010203,0.003348,1.0
Strategy3 / Exit Confirmation,CMA-ES,GLD,commodities,15min,validation_net_sharpe,"{""entry_interval"": 24, ""exit_confirmation_bars"": 3, ""exit_interval"": 7, ""lookback"": 8, ""vol_target"": 0.021964}",-0.000418,-1.859593,6.259723,-1.859593,6.259723,-5.333362,-26.590005,11.000672,-26.590005,11.000672,-27.630996,-10.027817,406,89,21256.642506,3064.070048,0.055946,0.03821,1.5
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 19, ""exit_confirmation_bars"": 4, ""exit_interval"": 11, ""lookback"": 9, ""vol_target"": 0.023651}",0.194962,-0.846971,1.976224,-0.846971,1.976224,-27.040274,-87.33273,12.12312,-87.33273,12.12312,-94.532804,-26.294012,955,199,60292.455756,21068.952885,0.011081,0.018059,4.0
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,validation_net_sharpe,"{""entry_interval"": 38, ""exit_confirmation_bars"": 1, ""exit_interval"": 11, ""lookback"": 16, ""vol_target"": 0.009704}",4.057322,3.144104,4.985916,3.144104,4.985916,23.785352,18.088446,2.936119,18.088446,2.936119,-10.127334,-2.232004,571,116,5696.906031,450.826233,0.022491,0.008433,1.0
Strategy4 / EMA + Confirmation,CMA-ES,GLD,commodities,15min,validation_net_sharpe,"{""ema_period"": 62, ""entry_interval"": 35, ""exit_confirmation_bars"": 5, ""exit_interval"": 1, ""lookback"": 14, ""vol_target"": 0.03116}",0.649694,-1.476713,1.656399,-1.476713,1.656399,2.815869,-19.554735,3.509685,-19.554735,3.509685,-34.021589,-14.610213,439,112,22370.60416,5684.326959,0.058878,0.070886,1.5
Strategy4 / EMA + Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""ema_period"": 94, ""entry_interval"": 28, ""exit_confirmation_bars"": 6, ""exit_interval"": 1, ""lookback"": 19, ""vol_target"": 0.019506}",2.860134,1.335812,1.072015,1.335812,1.072015,246.962987,5.770773,4.340643,5.770773,4.340643,-68.950875,-29.781548,1118,243,241192.214292,23396.308665,0.04433,0.020054,4.0
Strategy4 / EMA + Confirmation,CMA-ES,AAPL,equities,15min,validation_net_sharpe,"{""ema_period"": 116, ""entry_interval"": 31, ""exit_confirmation_bars"": 5, ""exit_interval"": 3, ""lookback"": 15, ""vol_target"": 0.015598}",3.735978,2.918526,6.272729,2.918526,6.272729,30.451624,23.045511,5.527481,23.045511,5.527481,-16.723041,-2.125299,450,88,7406.113333,585.131318,0.029239,0.010945,1.0
