strategy,config_source,optimizer,asset,asset_class,frequency,split,cost_bps,gross_total_return,net_total_return,annualized_return,annualized_volatility,net_sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,params_json,selected_by
Strategy0 / Baseline,optimized,NES,GLD,commodities,15min,train,1.5,1.771437,-26.507727,-7.663064,74.804383,-2.140157,-3.467144,-32.903754,-0.232893,0.312849,0.074429,28279.164258,537,-49.362621,0.270391,"{""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",validation_net_sharpe
Strategy0 / Baseline,optimized,NES,GLD,commodities,15min,validation,1.5,4.038956,-1.971085,-2.400637,66.856133,-0.372891,-0.652721,-15.522078,-0.15466,0.326087,0.074948,6010.040977,138,-14.283226,0.313692,"{""entry_interval"": 23, ""lookback"": 13, ""vol_target"": 0.028424}",validation_net_sharpe
Strategy0 / Baseline,optimized,NES,BTCUSDT,crypto,15min,train,4.0,110.450368,-53.666059,-18.00451,248.06232,0.459675,1.05668,-76.770197,-0.234525,0.293023,0.030164,164116.427023,1505,-35.658511,0.306879,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",validation_net_sharpe
Strategy0 / Baseline,optimized,NES,BTCUSDT,crypto,15min,validation,4.0,102.170247,36.399599,46.072756,193.178085,2.560314,5.798711,-40.615435,1.134366,0.354232,0.056374,65770.648142,319,114.105327,0.33267,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",validation_net_sharpe
Strategy0 / Baseline,optimized,NES,AAPL,equities,15min,train,1.0,134.308445,91.761766,18.311733,140.209723,3.20611,5.547918,-41.086017,0.445693,0.386777,0.16797,42546.678248,605,151.672341,0.327359,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",validation_net_sharpe
Strategy0 / Baseline,optimized,NES,AAPL,equities,15min,validation,1.0,40.199037,35.831663,46.446684,162.778782,6.134488,11.139689,-23.025733,2.017164,0.413793,0.081694,4367.373493,116,308.89365,0.301534,"{""entry_interval"": 60, ""lookback"": 5, ""vol_target"": 0.05}",validation_net_sharpe
Strategy1 / Asymmetric Intervals,optimized,NES,GLD,commodities,15min,train,1.5,26.710651,-13.538452,-3.695667,56.068611,-0.916571,-1.786239,-27.937045,-0.132286,0.250352,0.105933,40249.102959,711,-19.041423,0.228701,"{""entry_interval"": 23, ""exit_interval"": 1, ""lookback"": 13, ""vol_target"": 0.028424}",validation_net_sharpe
Strategy1 / Asymmetric Intervals,optimized,NES,GLD,commodities,15min,validation,1.5,6.684796,-0.906976,-1.105939,45.872557,-0.138703,-0.254921,-11.671163,-0.094758,0.275862,0.094672,7591.771859,174,-5.212503,0.265058,"{""entry_interval"": 23, ""exit_interval"": 1, ""lookback"": 13, ""vol_target"": 0.028424}",validation_net_sharpe
Strategy1 / Asymmetric Intervals,optimized,NES,BTCUSDT,crypto,15min,train,4.0,136.668915,18.59244,4.498336,82.340016,0.783928,1.985765,-34.301786,0.13114,0.251843,0.021702,118076.475109,1763,10.54591,0.285691,"{""entry_interval"": 47, ""exit_interval"": 10, ""lookback"": 5, ""vol_target"": 0.011702}",validation_net_sharpe
Strategy1 / Asymmetric Intervals,optimized,NES,BTCUSDT,crypto,15min,validation,4.0,92.027199,38.428362,48.733389,130.774481,2.906175,7.719424,-26.426144,1.844135,0.330532,0.045941,53598.837126,357,107.64247,0.316419,"{""entry_interval"": 47, ""exit_interval"": 10, ""lookback"": 5, ""vol_target"": 0.011702}",validation_net_sharpe
Strategy1 / Asymmetric Intervals,optimized,NES,AAPL,equities,15min,train,1.0,68.315454,40.964846,9.286281,120.156668,2.219748,3.800983,-33.75193,0.275133,0.364583,0.107977,27350.608514,576,71.119524,0.318516,"{""entry_interval"": 29, ""exit_interval"": 7, ""lookback"": 23, ""vol_target"": 0.030548}",validation_net_sharpe
Strategy1 / Asymmetric Intervals,optimized,NES,AAPL,equities,15min,validation,1.0,14.379639,12.988666,16.554454,58.620618,6.762744,12.618857,-6.628953,2.497295,0.40566,0.026019,1390.972691,106,122.534586,0.290685,"{""entry_interval"": 29, ""exit_interval"": 7, ""lookback"": 23, ""vol_target"": 0.030548}",validation_net_sharpe
Strategy2 / EMA Filter,optimized,NES,GLD,commodities,15min,train,1.5,0.848626,-37.381235,-11.411951,62.088962,-2.721841,-4.542963,-42.245001,-0.270137,0.287117,0.100618,38229.861923,815,-45.866547,0.283182,"{""ema_period"": 20, ""entry_interval"": 10, ""lookback"": 5, ""vol_target"": 0.024051}",validation_net_sharpe
Strategy2 / EMA Filter,optimized,NES,GLD,commodities,15min,validation,1.5,12.705526,3.844045,4.71138,49.058204,1.552553,2.902149,-8.379186,0.562272,0.319588,0.110506,8861.481551,194,19.814664,0.323793,"{""ema_period"": 20, ""entry_interval"": 10, ""lookback"": 5, ""vol_target"": 0.024051}",validation_net_sharpe
Strategy2 / EMA Filter,optimized,NES,BTCUSDT,crypto,15min,train,4.0,82.461354,5.760632,1.455706,77.058455,0.5357,1.226127,-31.274969,0.046545,0.294237,0.014097,76700.722174,1475,3.905513,0.305012,"{""ema_period"": 90, ""entry_interval"": 31, ""lookback"": 5, ""vol_target"": 0.009452}",validation_net_sharpe
Strategy2 / EMA Filter,optimized,NES,BTCUSDT,crypto,15min,validation,4.0,64.59738,28.846863,36.260349,117.995669,2.835313,6.543678,-23.662974,1.532366,0.347267,0.030643,35750.517255,311,92.755185,0.331025,"{""ema_period"": 90, ""entry_interval"": 31, ""lookback"": 5, ""vol_target"": 0.009452}",validation_net_sharpe
Strategy2 / EMA Filter,optimized,NES,AAPL,equities,15min,train,1.0,13.443165,10.858819,2.711816,20.157986,3.731791,6.158617,-5.365232,0.505442,0.387446,0.010203,2584.345408,462,23.503938,0.261508,"{""ema_period"": 200, ""entry_interval"": 53, ""lookback"": 22, ""vol_target"": 0.005}",validation_net_sharpe
Strategy2 / EMA Filter,optimized,NES,AAPL,equities,15min,validation,1.0,2.823881,2.644881,3.328925,7.620199,13.484818,35.295462,-0.387212,8.597166,0.464286,0.003348,179.000197,84,31.486677,0.252525,"{""ema_period"": 200, ""entry_interval"": 53, ""lookback"": 22, ""vol_target"": 0.005}",validation_net_sharpe
Strategy3 / Exit Confirmation,optimized,CMA-ES,GLD,commodities,15min,train,1.5,-5.333362,-26.590005,-7.689398,104.80193,-1.859593,-2.790619,-27.630996,-0.278289,0.413793,0.055946,21256.642506,406,-65.492622,0.424398,"{""entry_interval"": 24, ""exit_confirmation_bars"": 3, ""exit_interval"": 7, ""lookback"": 8, ""vol_target"": 0.021964}",validation_net_sharpe
